"","sex","SA3","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011"
"1","F",10101,30245,30313,30339,30343,30357,30481,30578,30754,30970,31141,31356,31535,31746,31936,32094,32337,32532,32971,33557,34223,34682
"2","M",10101,31422,31438,31367,31308,31245,31305,31390,31529,31606,31811,32014,32249,32499,32614,32797,32947,33275,33699,34188,34727,35093
"4","F",10102,17333,17930,18410,18894,19311,19657,20048,20327,20923,21870,22380,23023,23759,24100,24655,25246,25704,26249,26765,27275,27685
"5","M",10102,17948,18479,18888,19296,19625,19906,20274,20556,21181,22156,22844,23591,24350,24720,25264,25872,26397,27024,27589,28135,28366
"7","F",10103,8427,8487,8512,8550,8550,8603,8577,8647,8743,8717,9055,9163,9196,9230,9247,9291,9341,9361,9372,9416,9419
"8","M",10103,9665,9776,9850,9927,10018,10096,10012,10059,10083,10031,9755,9842,9888,9898,9958,10046,10072,10079,10129,10161,10176
"10","F",10104,26392,27183,27779,28406,28794,29291,29782,30299,30878,31484,32293,32781,33218,33655,33907,34116,34376,34566,34793,35250,35442
"11","M",10104,27048,27706,28194,28721,29005,29386,29799,30300,30865,31476,31800,32282,32723,33132,33392,33592,33943,34196,34421,34739,34965
"13","F",10201,69451,71283,72736,73975,75303,76796,77926,78816,80111,81370,82554,83157,83323,83215,83272,83528,84025,84974,85826,86477,86840
"14","M",10201,66257,67959,69298,70455,71724,73103,73935,74667,75786,76918,78042,78231,78135,78008,78190,78357,78950,80179,81255,81874,82178
"16","F",10202,53247,55048,56461,57875,59110,60817,62355,63809,65390,67094,68877,70209,71121,71564,72249,72972,74156,75830,76986,78048,78916
"17","M",10202,50875,52606,53943,55259,56448,58034,59315,60597,62034,63562,65123,65933,66740,67212,67692,68194,69368,71355,72729,73962,74723
"19","F",10301,18207,18406,18581,18815,19037,19200,19377,19512,19728,19884,20100,20254,20375,20436,20565,20669,20804,21111,21595,21906,22140
"20","M",10301,18531,18758,18928,19169,19405,19592,19772,20006,20251,20424,20716,20939,21039,21067,21244,21453,21644,21989,22500,22805,23036
"22","F",10302,29898,29999,29880,29859,29658,29514,29459,29429,29375,29250,29263,29096,28829,28523,28318,28183,28025,27895,27914,28043,28161
"23","M",10302,30125,30214,30155,30179,29994,29869,29849,29819,29777,29760,29724,29521,29218,28875,28652,28491,28411,28323,28328,28354,28384
"25","F",10303,21398,21460,21463,21481,21491,21463,21409,21392,21524,21466,21501,21412,21369,21341,21262,21196,21364,21513,21713,21930,22133
"26","M",10303,21829,21904,21918,21928,21936,21929,21962,21953,22100,22127,22237,22207,22093,22008,21913,21923,22101,22324,22725,22997,23227
"28","F",10304,24645,24885,25083,25142,25123,25151,25342,25715,25998,26193,26298,26400,26481,26290,26338,26486,26702,27016,27412,27860,28358
"29","M",10304,24029,24276,24429,24483,24465,24485,24694,25121,25466,25709,25990,26048,26032,26021,25990,25996,26351,26709,27081,27493,27960
"31","F",10401,21395,21766,21944,22193,22366,22547,22912,23389,23438,23537,23835,23931,24009,24119,24239,24348,24507,24635,25014,25358,25589
"32","M",10401,21648,22078,22305,22588,22842,23042,23390,23562,23677,23853,23954,24033,24056,24092,24211,24389,24644,24765,24977,25215,25258
"34","F",10402,32079,32829,33657,34469,35285,35819,36321,36670,37180,37752,38370,38867,39428,39802,40113,40520,40980,41550,42024,42617,43018
"35","M",10402,32105,32768,33524,34285,35039,35506,35885,36147,36597,37112,37304,37810,38295,38738,38929,39265,39733,40229,40613,41067,41317
"37","F",10501,15157,15180,15112,15084,14960,14906,14875,14660,14534,14412,14348,14069,13686,13359,13104,12882,12764,12694,12688,12743,12719
"38","M",10501,16804,16861,16821,16806,16721,16659,16660,16602,16461,16301,16184,15845,15461,15054,14731,14407,14182,14002,13977,13943,13779
"40","F",10502,14084,13900,13658,13330,12922,12661,12506,12470,12369,12147,12058,11890,11721,11533,11404,11295,11264,11206,11141,11073,11036
"41","M",10502,14191,13990,13720,13369,12942,12639,12536,12464,12392,12219,12150,11942,11703,11522,11364,11196,11183,11137,11039,10968,10901
"43","F",10503,32846,33408,33630,33853,33834,33793,33940,34140,34517,34577,34788,34657,34461,34303,34171,34149,34338,34472,34647,34909,35045
"44","M",10503,32543,33016,33140,33284,33189,33076,33141,33351,33679,33818,34054,33928,33732,33558,33464,33389,33291,33834,34297,34582,34511
"46","F",10601,36588,36654,36647,36727,36865,37114,37428,37693,37936,38111,37990,38209,38413,38574,38758,38942,39395,39948,40450,41115,41788
"47","M",10601,35583,35752,35892,36071,36285,36628,36926,37198,37470,37783,38451,38761,39047,39150,39461,39737,40340,40974,41552,42212,42904
"49","F",10602,22950,23146,23360,23618,23918,24209,24699,25137,25584,26162,26456,27259,28043,28675,29488,30291,31140,31727,32258,32880,33607
"50","M",10602,21966,22183,22447,22712,23006,23327,23748,24178,24596,25190,25868,26668,27415,28078,28849,29643,30530,31113,31637,32217,32933
"52","F",10603,23300,23916,24779,25491,26339,27094,27845,28483,29187,29947,30330,30917,31617,32037,32463,32507,33155,33624,34184,34799,35168
"53","M",10603,22964,23562,24446,25136,25944,26670,27417,28065,28770,29625,30714,31170,31719,32051,32321,32322,33000,33475,33954,34490,34871
"55","F",10604,13956,14017,14079,14129,14110,14100,14128,14086,14006,13942,13945,14034,14059,14055,14056,14103,14160,14313,14469,14651,14850
"56","M",10604,15060,15078,15076,15067,15001,14938,14848,14706,14612,14512,14584,14720,14678,14582,14692,14869,14927,15035,15210,15440,15684
"58","F",10701,34308,34295,34290,34330,34444,34808,34953,35281,35559,35686,35775,36048,36238,36330,36298,36403,36678,37015,37347,37761,37814
"59","M",10701,35202,35059,34913,34859,34854,35071,35143,35468,35781,35952,36527,36630,36636,36650,36464,36359,36593,36888,37163,37448,37516
"61","F",10703,32294,33174,33943,34643,35437,36048,36856,37472,38243,39050,39750,40180,40634,40799,41063,41314,41671,42303,42874,43454,43940
"62","M",10703,32459,33291,34007,34654,35423,35976,36645,37208,37925,38671,39359,39664,39989,40216,40374,40480,40952,41525,42066,42604,43019
"64","F",10704,55148,55366,55553,55753,56159,56727,57106,57151,57369,57602,58193,58709,58878,58943,59004,59083,59701,60619,61515,62452,63139
"65","M",10704,55458,55573,55633,55754,56056,56493,56847,56948,57230,57518,57767,58451,58710,58705,58942,59051,59785,60902,61849,62794,63586
"67","F",10801,11573,11913,12187,12428,12748,13030,13362,13671,13795,14022,14213,14395,14510,14708,14783,14842,15043,15137,15357,15587,15728
"68","M",10801,11141,11463,11741,11976,12275,12550,12887,13172,13293,13558,13881,14094,14209,14386,14461,14479,14662,14757,14928,15119,15239
"70","F",10802,21109,21530,21678,21950,22083,22160,22325,22517,22607,22624,22762,22783,22721,22899,23052,23080,23219,23494,23786,24034,24176
"71","M",10802,21059,21448,21567,21805,21901,21934,22096,22314,22341,22352,22473,22586,22657,22915,23280,23309,23523,23709,23938,24142,24242
