"","Year","SA3.Name","variable","value","fit","residuals","ape"
"6501",2011,"Goulburn - Yass","m0.4",2350,1942.75906363469,-407.240936365307,17.3294015474599
"6502",2011,"Queanbeyan","m0.4",1937,1863.30401599081,-73.6959840091904,3.80464553480591
"6503",2011,"Snowy Mountains","m0.4",663,526.139179851655,-136.860820148345,20.6426576392678
"6504",2011,"South Coast","m0.4",1929,1803.95940286438,-125.040597135625,6.48214604124546
"6505",2011,"Gosford","m0.4",5168,4867.2135590235,-300.786440976499,5.82017107152668
"6506",2011,"Wyong","m0.4",5247,4760.56605467334,-486.433945326658,9.27070602871466
"6507",2011,"Bathurst","m0.4",1574,1444.87459332206,-129.125406677945,8.20364718411339
"6508",2011,"Lachlan Valley","m0.4",1948,1766.88175995361,-181.118240046394,9.29765092640624
"6509",2011,"Lithgow - Mudgee","m0.4",1517,1194.52513648871,-322.474863511289,21.2574069552596
"6510",2011,"Orange","m0.4",2286,1848.37023753705,-437.629762462953,19.1439091191143
"6511",2011,"Clarence Valley","m0.4",1498,1290.62273758088,-207.377262419117,13.8436089732388
"6512",2011,"Coffs Harbour","m0.4",2546,2127.40400857433,-418.595991425671,16.441319380427
"6513",2011,"Bourke - Cobar - Coonamble","m0.4",1071,1036.86626168365,-34.1337383163454,3.18709041235718
"6514",2011,"Broken Hill and Far West","m0.4",614,674.159971254721,60.1599712547213,9.79804092096438
"6515",2011,"Dubbo","m0.4",2760,2406.74078467106,-353.259215328943,12.7992469322081
"6516",2011,"Lower Hunter","m0.4",3107,2615.00945247955,-491.990547520449,15.83490658257
"6517",2011,"Maitland","m0.4",2555,2328.66454267171,-226.335457328294,8.85853061950269
"6518",2011,"Port Stephens","m0.4",2226,2072.34041795007,-153.659582049935,6.90294618373471
"6519",2011,"Upper Hunter","m0.4",1184,1091.93173486534,-92.0682651346635,7.77603590664388
"6520",2011,"Dapto - Port Kembla","m0.4",2472,2270.60195338806,-201.398046611941,8.14717017038596
"6521",2011,"Kiama - Shellharbour","m0.4",2817,2668.50858730991,-148.491412690093,5.27126065637531
"6522",2011,"Wollongong","m0.4",3928,3588.58955748471,-339.410442515287,8.64079537971709
"6523",2011,"Great Lakes","m0.4",770,641.646434184483,-128.353565815517,16.6692942617555
"6524",2011,"Kempsey - Nambucca","m0.4",1509,1370.26985699561,-138.730143004393,9.19351510963505
"6525",2011,"Port Macquarie","m0.4",2086,1895.03935969071,-190.960640309293,9.15439311166311
"6526",2011,"Taree - Gloucester","m0.4",1557,1327.50225146128,-229.497748538719,14.7397397905407
"6527",2011,"Albury","m0.4",1930,1823.50635970253,-106.49364029747,5.51780519676012
"6528",2011,"Lower Murray","m0.4",431,415.274863634746,-15.7251363652537,3.64852351862034
"6529",2011,"Upper Murray exc. Albury","m0.4",1222,1125.3966195128,-96.6033804872002,7.90535028536826
"6530",2011,"Armidale","m0.4",1145,996.281020003845,-148.718979996155,12.9885572049043
"6531",2011,"Inverell - Tenterfield","m0.4",1270,1195.06152392924,-74.9384760707649,5.90066740714684
"6532",2011,"Moree - Narrabri","m0.4",1132,1109.31717144133,-22.6828285586673,2.00378344157839
"6533",2011,"Tamworth - Gunnedah","m0.4",2872,2412.90441172843,-459.095588271566,15.985222432854
