Code,Area name,Sex,Age group,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
10101,Goulburn - Yass,Females,0-4,,,,,1967.474609375,,,,,1855.5693359375
10101,Goulburn - Yass,Females,5-9,,,,,2365.03125,,,,,2342.23779296875
10101,Goulburn - Yass,Females,10-14,,,,,2296.570068359375,,,,,2313.380126953125
10101,Goulburn - Yass,Females,15-19,,,,,2071.193359375,,,,,2158.76123046875
10101,Goulburn - Yass,Females,20-24,,,,,1467.50048828125,,,,,1491.6519775390625
10101,Goulburn - Yass,Females,25-29,,,,,1754.537353515625,,,,,1819.978759765625
10101,Goulburn - Yass,Females,30-34,,,,,2015.9935302734375,,,,,1925.7203369140625
10101,Goulburn - Yass,Females,35-39,,,,,2272.398681640625,,,,,2231.985107421875
10101,Goulburn - Yass,Females,40-44,,,,,2272.781494140625,,,,,2331.72265625
10101,Goulburn - Yass,Females,45-49,,,,,2325.76025390625,,,,,2373.781005859375
10101,Goulburn - Yass,Females,50-54,,,,,2407.863525390625,,,,,2452.458740234375
10101,Goulburn - Yass,Females,55-59,,,,,2101.686279296875,,,,,2154.50439453125
10101,Goulburn - Yass,Females,60-64,,,,,1634.9715576171875,,,,,1700.8563232421875
10101,Goulburn - Yass,Females,65-69,,,,,1306.95458984375,,,,,1427.5087890625
10101,Goulburn - Yass,Females,70-74,,,,,1337.8739013671875,,,,,1313.240966796875
10101,Goulburn - Yass,Females,75-79,,,,,1184.254638671875,,,,,1214.2259521484375
10101,Goulburn - Yass,Females,80-84,,,,,714.3268432617188,,,,,699.3399658203125
10101,Goulburn - Yass,Females,85+,,,,,832.5442504882812,,,,,960.3151245117188
10101,Goulburn - Yass,Males,0-4,,,,,2131.42431640625,,,,,2067.759033203125
10101,Goulburn - Yass,Males,5-9,,,,,2524.578857421875,,,,,2649.0556640625
10101,Goulburn - Yass,Males,10-14,,,,,2567.71337890625,,,,,2693.0361328125
10101,Goulburn - Yass,Males,15-19,,,,,2121.98095703125,,,,,2212.099609375
10101,Goulburn - Yass,Males,20-24,,,,,1764.026123046875,,,,,1851.41357421875
10101,Goulburn - Yass,Males,25-29,,,,,1654.3631591796875,,,,,1646.212890625
10101,Goulburn - Yass,Males,30-34,,,,,1972.472412109375,,,,,2033.1837158203125
10101,Goulburn - Yass,Males,35-39,,,,,2426.0146484375,,,,,2415.1845703125
10101,Goulburn - Yass,Males,40-44,,,,,2566.970703125,,,,,2597.234375
10101,Goulburn - Yass,Males,45-49,,,,,2293.632568359375,,,,,2432.643310546875
10101,Goulburn - Yass,Males,50-54,,,,,2624.068115234375,,,,,2822.62646484375
10101,Goulburn - Yass,Males,55-59,,,,,2263.575927734375,,,,,2387.162109375
10101,Goulburn - Yass,Males,60-64,,,,,1898.61181640625,,,,,2042.5240478515625
10101,Goulburn - Yass,Males,65-69,,,,,1364.8023681640625,,,,,1407.0401611328125
10101,Goulburn - Yass,Males,70-74,,,,,1559.22802734375,,,,,1633.806396484375
10101,Goulburn - Yass,Males,75-79,,,,,912.8888549804688,,,,,997.2579956054688
10101,Goulburn - Yass,Males,80-84,,,,,540.9011840820312,,,,,534.8939208984375
10101,Goulburn - Yass,Males,85+,,,,,357.51019287109375,,,,,462.5570373535156
10102,Queanbeyan,Females,0-4,,,,,1804.67578125,,,,,2094.240966796875
10102,Queanbeyan,Females,5-9,,,,,1921.6397705078125,,,,,2240.0048828125
10102,Queanbeyan,Females,10-14,,,,,2185.512451171875,,,,,2652.2607421875
10102,Queanbeyan,Females,15-19,,,,,1731.722412109375,,,,,1893.30126953125
10102,Queanbeyan,Females,20-24,,,,,1187.704345703125,,,,,1140.1646728515625
10102,Queanbeyan,Females,25-29,,,,,1096.1729736328125,,,,,860.822265625
10102,Queanbeyan,Females,30-34,,,,,2171.357666015625,,,,,2339.68701171875
10102,Queanbeyan,Females,35-39,,,,,2449.483154296875,,,,,2950.2744140625
10102,Queanbeyan,Females,40-44,,,,,2538.54931640625,,,,,3244.93115234375
10102,Queanbeyan,Females,45-49,,,,,2108.404541015625,,,,,2626.267333984375
10102,Queanbeyan,Females,50-54,,,,,2122.6015625,,,,,2625.23095703125
