Code,Area name,Sex,Age group,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
10101,Goulburn - Yass,Females,0-4,,,,,1927.080322265625,,,,,1854.11181640625
10101,Goulburn - Yass,Females,5-9,,,,,2297.000244140625,,,,,2308.46826171875
10101,Goulburn - Yass,Females,10-14,,,,,2280.480224609375,,,,,2311.978271484375
10101,Goulburn - Yass,Females,15-19,,,,,2053.574951171875,,,,,2096.5400390625
10101,Goulburn - Yass,Females,20-24,,,,,1365.986572265625,,,,,1332.5546875
10101,Goulburn - Yass,Females,25-29,,,,,1691.16162109375,,,,,1640.0191650390625
10101,Goulburn - Yass,Females,30-34,,,,,1892.6177978515625,,,,,1871.5205078125
10101,Goulburn - Yass,Females,35-39,,,,,2273.577392578125,,,,,2284.1005859375
10101,Goulburn - Yass,Females,40-44,,,,,2418.780517578125,,,,,2577.424072265625
10101,Goulburn - Yass,Females,45-49,,,,,2299.440673828125,,,,,2396.75146484375
10101,Goulburn - Yass,Females,50-54,,,,,2514.700439453125,,,,,2793.040771484375
10101,Goulburn - Yass,Females,55-59,,,,,2293.390380859375,,,,,2605.931884765625
10101,Goulburn - Yass,Females,60-64,,,,,1766.0556640625,,,,,1964.7701416015625
10101,Goulburn - Yass,Females,65-69,,,,,1389.775634765625,,,,,1452.9759521484375
10101,Goulburn - Yass,Females,70-74,,,,,1386.285400390625,,,,,1512.4852294921875
10101,Goulburn - Yass,Females,75-79,,,,,1272.7679443359375,,,,,1473.43701171875
10101,Goulburn - Yass,Females,80-84,,,,,793.19091796875,,,,,886.892822265625
10101,Goulburn - Yass,Females,85+,,,,,821.43798828125,,,,,960.066162109375
10101,Goulburn - Yass,Males,0-4,,,,,2091.095458984375,,,,,2037.340087890625
10101,Goulburn - Yass,Males,5-9,,,,,2450.990966796875,,,,,2458.395751953125
10101,Goulburn - Yass,Males,10-14,,,,,2596.14697265625,,,,,2732.917236328125
10101,Goulburn - Yass,Males,15-19,,,,,2082.00341796875,,,,,2088.245361328125
10101,Goulburn - Yass,Males,20-24,,,,,1725.595703125,,,,,1736.9791259765625
10101,Goulburn - Yass,Males,25-29,,,,,1533.5062255859375,,,,,1399.833251953125
10101,Goulburn - Yass,Males,30-34,,,,,1928.719970703125,,,,,1896.01806640625
10101,Goulburn - Yass,Males,35-39,,,,,2387.30859375,,,,,2418.741455078125
10101,Goulburn - Yass,Males,40-44,,,,,2608.894775390625,,,,,2786.125732421875
10101,Goulburn - Yass,Males,45-49,,,,,2208.285400390625,,,,,2224.405517578125
10101,Goulburn - Yass,Males,50-54,,,,,2655.0654296875,,,,,2920.272216796875
10101,Goulburn - Yass,Males,55-59,,,,,2323.207763671875,,,,,2585.353271484375
10101,Goulburn - Yass,Males,60-64,,,,,1984.429443359375,,,,,2233.694091796875
10101,Goulburn - Yass,Males,65-69,,,,,1371.5211181640625,,,,,1401.3873291015625
10101,Goulburn - Yass,Males,70-74,,,,,1567.4837646484375,,,,,1811.9322509765625
10101,Goulburn - Yass,Males,75-79,,,,,894.5116577148438,,,,,1005.363525390625
10101,Goulburn - Yass,Males,80-84,,,,,540.5535888671875,,,,,634.0847778320312
10101,Goulburn - Yass,Males,85+,,,,,349.35406494140625,,,,,420.33892822265625
10102,Queanbeyan,Females,0-4,,,,,1700.6353759765625,,,,,1833.319580078125
10102,Queanbeyan,Females,5-9,,,,,1966.327880859375,,,,,2281.15185546875
10102,Queanbeyan,Females,10-14,,,,,1980.626708984375,,,,,2409.89306640625
10102,Queanbeyan,Females,15-19,,,,,1804.9737548828125,,,,,2150.56103515625
10102,Queanbeyan,Females,20-24,,,,,1195.0802001953125,,,,,1070.055419921875
10102,Queanbeyan,Females,25-29,,,,,1193.5899658203125,,,,,861.0274047851562
10102,Queanbeyan,Females,30-34,,,,,2132.193359375,,,,,2374.07373046875
10102,Queanbeyan,Females,35-39,,,,,2347.56494140625,,,,,2784.975341796875
10102,Queanbeyan,Females,40-44,,,,,2391.25927734375,,,,,3008.767578125
10102,Queanbeyan,Females,45-49,,,,,1996.2274169921875,,,,,2420.661376953125
10102,Queanbeyan,Females,50-54,,,,,2080.8818359375,,,,,2690.814208984375
10102,Queanbeyan,Females,55-59,,,,,1559.2861328125,,,,,2016.10791015625
10102,Queanbeyan,Females,60-64,,,,,1056.3009033203125,,,,,1333.9564208984375
10102,Queanbeyan,Females,65-69,,,,,641.2652587890625,,,,,694.7122192382812
10102,Queanbeyan,Females,70-74,,,,,624.0042114257812,,,,,690.0827026367188
10102,Queanbeyan,Females,75-79,,,,,586.19873046875,,,,,712.809814453125
10102,Queanbeyan,Females,80-84,,,,,327.2919616699219,,,,,365.30029296875
10102,Queanbeyan,Females,85+,,,,,380.7257385253906,,,,,495.8433837890625
10102,Queanbeyan,Males,0-4,,,,,1435.8861083984375,,,,,642.1417846679688
10102,Queanbeyan,Males,5-9,,,,,2372.832763671875,,,,,3923.104248046875
10102,Queanbeyan,Males,10-14,,,,,2603.925048828125,,,,,4612.47802734375
