Area,Year,m0-4,m5-9,m10-14,m15-19,m20-24,m25-29,m30-34,m35-39,m40-44,m45-49,m50-54,m55-59,m60-64,m65-69,m70-74,m75-79,m80-84,m85+,f0-4,f5-9,f10-14,f15-19,f20-24,f25-29,f30-34,f35-39,f40-44,f45-49,f50-54,f55-59,f60-64,f65-69,f70-74,f75-79,f80-84,f85+,Total
Illawarra Catchment Reserve,1991,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,13
Lord Howe Island,1991,17,10,7,3,13,22,16,20,17,6,10,8,8,6,6,1,0,1,13,12,7,0,14,21,19,18,24,6,11,6,7,8,5,3,7,4,356
Blue Mountains - South,1991,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Migratory - Offshore - Shipping (NSW),1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Codes SA3 (NSW),1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Vic.),1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Codes SA3 (Vic.),1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Qld),1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Codes SA3 (Qld),1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (SA),1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
