Year,m0-4,m5-9,m10-14,m15-19,m20-24,m25-29,m30-34,m35-39,m40-44,m45-49,m50-54,m55-59,m60-64,m65-69,m70-74,m75-79,m80-84,m85+,f0-4,f5-9,f10-14,f15-19,f20-24,f25-29,f30-34,f35-39,f40-44,f45-49,f50-54,f55-59,f60-64,f65-69,f70-74,f75-79,f80-84,f85+,Total
1991,68,58,52,57,61,79,72,65,64,34,40,30,37,18,18,6,3,1,63,48,42,38,62,72,69,60,52,52,27,28,20,18,9,4,12,9,1448
1992,82,74,63,66,82,94,90,77,76,53,47,36,36,17,17,6,3,2,81,60,58,46,86,92,90,76,68,61,38,29,22,19,12,5,16,13,1793
1993,241,192,149,153,249,273,253,209,177,171,103,70,47,34,29,15,6,7,224,170,143,131,298,291,260,207,172,159,101,54,40,33,23,10,13,13,4720
1994,385,303,235,241,416,469,425,338,270,270,157,104,61,51,31,19,7,12,382,277,228,216,518,520,439,353,270,248,155,85,52,50,32,13,13,16,7661
1995,566,435,326,339,604,759,638,492,376,369,213,132,82,65,34,27,10,17,564,398,328,309,769,832,642,498,381,334,221,118,79,61,39,21,23,19,11120
1996,697,530,384,412,702,1004,795,598,465,417,257,159,99,79,39,29,12,22,701,483,395,387,915,1094,789,611,457,393,268,142,89,70,45,24,16,19,13598
1997,835,663,453,491,754,1101,931,731,561,476,361,201,135,100,54,34,16,18,788,610,473,459,939,1259,965,744,564,501,334,203,124,87,66,29,21,21,16102
1998,960,765,531,510,809,1168,1058,852,620,528,456,248,170,117,68,35,18,16,893,721,508,522,961,1356,1107,869,644,596,400,256,162,114,76,40,26,21,18201
1999,1090,884,626,561,839,1254,1183,1001,742,615,519,292,217,144,87,49,21,15,1026,833,614,586,988,1454,1286,1015,752,671,485,311,209,135,95,53,31,24,20707
2000,1175,988,701,620,848,1325,1315,1096,847,665,608,354,244,165,107,57,26,14,1139,937,680,652,988,1496,1425,1118,871,706,580,375,244,157,118,64,36,26,22767
2001,1316,1076,803,698,909,1390,1457,1266,952,769,685,419,284,188,150,71,31,14,1354,1044,772,757,1051,1560,1602,1248,956,768,697,410,281,195,140,87,49,29,25478
2002,1378,1154,906,737,959,1356,1485,1331,1056,847,681,503,308,208,157,89,39,15,1368,1153,879,780,1082,1563,1648,1340,1048,817,750,482,316,218,157,95,58,34,26997
2003,1467,1214,974,817,988,1373,1534,1399,1195,892,742,581,335,230,159,91,48,15,1416,1236,984,796,1164,1565,1688,1464,1143,908,827,548,345,243,182,100,68,41,28772
2004,1507,1338,1054,852,1038,1404,1603,1454,1299,975,829,640,370,264,173,92,62,21,1430,1342,1073,838,1189,1565,1782,1543,1301,997,885,633,389,278,201,117,61,38,30637
2005,1548,1353,1133,925,1085,1405,1646,1508,1365,1036,856,697,413,258,183,106,71,23,1465,1406,1143,889,1227,1595,1797,1597,1343,1052,890,703,425,281,201,114,65,43,31847
2006,1602,1432,1164,1004,1135,1398,1689,1633,1443,1133,898,747,468,298,201,131,76,35,1551,1439,1202,983,1237,1638,1860,1698,1376,1112,904,776,478,327,226,131,76,44,33545
2007,1715,1502,1260,1114,1229,1505,1679,1767,1511,1239,940,749,540,322,208,133,78,37,1679,1500,1302,1089,1291,1726,1872,1873,1491,1165,948,817,568,402,237,165,74,54,35781
2008,1806,1601,1360,1241,1344,1656,1748,1893,1605,1355,960,770,617,358,236,152,89,38,1786,1581,1378,1243,1363,1823,1929,2013,1614,1249,1013,863,616,464,258,180,89,68,38359
2009,1916,1688,1455,1358,1490,1795,1832,2000,1671,1417,1062,828,648,388,278,170,89,44,1837,1632,1460,1344,1456,1937,2004,2120,1739,1357,1086,917,663,514,289,198,105,81,40868
2010,2083,1791,1522,1476,1706,2019,1980,2086,1803,1513,1144,880,680,443,293,195,95,47,1983,1713,1539,1419,1673,2109,2155,2193,1877,1470,1165,960,731,526,352,198,122,96,44037
2011,2340,1978,1743,1527,1933,2316,2370,2310,2125,1699,1295,1000,714,492,322,191,96,40,2178,1903,1705,1508,1949,2536,2597,2410,2140,1640,1249,967,815,514,322,180,113,99,49316
