,SA3 Name
20,Illawarra Catchment Reserve
25,Lord Howe Island
76,Blue Mountains - South
91,Migratory - Offshore - Shipping (NSW)
92,Special Purpose Codes SA3 (NSW)
158,Migratory - Offshore - Shipping (Vic.)
159,Special Purpose Codes SA3 (Vic.)
240,Migratory - Offshore - Shipping (Qld)
241,Special Purpose Codes SA3 (Qld)
270,Migratory - Offshore - Shipping (SA)
271,Special Purpose Codes SA3 (SA)
305,Migratory - Offshore - Shipping (WA)
306,Special Purpose Codes SA3 (WA)
322,Migratory - Offshore - Shipping (Tas.)
323,Special Purpose Codes SA3 (Tas.)
333,Migratory - Offshore - Shipping (NT)
334,Special Purpose Codes SA3 (NT)
336,Cotter - Namadgi
338,Gungahlin
344,Migratory - Offshore - Shipping (ACT)
345,Special Purpose Codes SA3 (ACT)
346,Jervis Bay
347,Migratory - Offshore - Shipping (OT)
348,Special Purpose Codes SA3 (OT)
369,Illawarra Catchment Reserve
374,Lord Howe Island
425,Blue Mountains - South
440,Migratory - Offshore - Shipping (NSW)
441,Special Purpose Codes SA3 (NSW)
507,Migratory - Offshore - Shipping (Vic.)
508,Special Purpose Codes SA3 (Vic.)
589,Migratory - Offshore - Shipping (Qld)
590,Special Purpose Codes SA3 (Qld)
619,Migratory - Offshore - Shipping (SA)
620,Special Purpose Codes SA3 (SA)
654,Migratory - Offshore - Shipping (WA)
655,Special Purpose Codes SA3 (WA)
671,Migratory - Offshore - Shipping (Tas.)
672,Special Purpose Codes SA3 (Tas.)
682,Migratory - Offshore - Shipping (NT)
683,Special Purpose Codes SA3 (NT)
685,Cotter - Namadgi
687,Gungahlin
693,Migratory - Offshore - Shipping (ACT)
694,Special Purpose Codes SA3 (ACT)
695,Jervis Bay
696,Migratory - Offshore - Shipping (OT)
697,Special Purpose Codes SA3 (OT)
718,Illawarra Catchment Reserve
723,Lord Howe Island
774,Blue Mountains - South
789,Migratory - Offshore - Shipping (NSW)
790,Special Purpose Codes SA3 (NSW)
856,Migratory - Offshore - Shipping (Vic.)
857,Special Purpose Codes SA3 (Vic.)
938,Migratory - Offshore - Shipping (Qld)
939,Special Purpose Codes SA3 (Qld)
968,Migratory - Offshore - Shipping (SA)
