Year,SA3 Code,SA3 Name,m0-4,m5-9,m10-14,m15-19,m20-24,m25-29,m30-34,m35-39,m40-44,m45-49,m50-54,m55-59,m60-64,m65-69,m70-74,m75-79,m80-84,m85+,f0-4,f5-9,f10-14,f15-19,f20-24,f25-29,f30-34,f35-39,f40-44,f45-49,f50-54,f55-59,f60-64,f65-69,f70-74,f75-79,f80-84,f85+,Total
1991,10101,Goulburn - Yass,2603,2565,2517,2472,2178,2392,2478,2312,2296,1999,1735,1502,1513,1170,765,506,260,159,2400,2495,2347,2277,1820,2152,2315,2185,2146,1859,1591,1412,1382,1252,967,799,493,353,61667
1991,10102,Queanbeyan,1593,1362,1223,1406,1743,1803,1670,1398,1346,1094,879,670,617,478,330,198,95,43,1476,1247,1177,1482,1868,1587,1541,1301,1238,991,745,611,575,544,393,275,177,105,35281
1991,10103,Snowy Mountains,741,641,577,591,848,1037,1047,890,743,550,476,402,361,331,242,112,48,28,658,656,596,464,685,856,854,666,624,504,413,328,320,258,237,152,97,59,18092
1991,10104,South Coast,1985,1987,1697,1358,963,1258,1838,2141,1861,1451,1287,1569,2222,2353,1570,966,367,175,1845,1899,1689,1246,922,1359,2090,1970,1628,1318,1370,1651,2166,2075,1437,958,455,314,53440
1991,10201,Gosford,5373,5182,4631,4802,3928,4659,5303,5160,5048,3972,2993,2518,3055,3389,2852,1936,996,460,5252,4891,4436,4688,3872,4859,5521,5252,4870,3709,2884,2884,3567,4002,3573,2661,1565,965,135708
1991,10202,Wyong,4332,4072,3481,3469,2956,3482,3957,3646,3392,2564,2108,2108,2809,3162,2477,1736,803,321,4071,3864,3543,3278,2853,3664,4229,3678,3241,2506,2228,2455,3263,3363,2954,2123,1165,769,104122
1991,10301,Bathurst,1530,1588,1588,1925,1635,1386,1465,1393,1329,1095,806,696,686,544,363,269,154,79,1463,1448,1478,1933,1563,1343,1374,1293,1284,1038,763,637,655,587,500,401,252,195,36738
1991,10302,Lachlan Valley,2621,2671,2586,2236,1679,2062,2280,2123,2148,1705,1666,1531,1578,1262,853,596,334,194,2428,2609,2528,2051,1627,2078,2174,2056,1935,1706,1601,1473,1435,1284,1094,846,552,421,60023
1991,10303,Lithgow - Mudgee,1866,1950,1716,1437,1330,1563,1680,1533,1648,1507,1211,1093,1044,844,600,435,262,110,1811,1819,1651,1480,1229,1516,1615,1542,1525,1347,1101,1037,962,865,719,559,340,280,43227
1991,10304,Orange,2076,2133,2130,2014,1805,1702,1836,1784,1702,1424,1205,1096,1005,837,575,395,209,101,1917,2027,1996,2104,1645,1798,1925,1772,1758,1361,1227,1034,1023,952,780,645,396,285,48674
1991,10401,Clarence Valley,1730,1808,1762,1485,1070,1318,1613,1703,1578,1270,1097,1096,1214,1141,836,524,281,122,1681,1727,1656,1393,971,1302,1718,1648,1441,1226,1077,1098,1179,1031,869,654,432,292,43043
1991,10402,Coffs Harbour,2688,2888,2734,2323,1602,1967,2509,2767,2535,1885,1534,1379,1605,1455,1056,692,339,147,2535,2743,2518,2188,1571,2060,2723,2792,2377,1812,1540,1449,1526,1496,1087,820,505,337,64184
1991,10501,Bourke - Cobar - Coonamble,1645,1492,1178,1103,1398,1494,1463,1230,1136,1018,963,840,739,484,293,200,80,48,1591,1407,1145,1018,1301,1340,1273,1023,955,845,771,641,570,419,350,235,160,113,31961
1991,10502,Broken Hill and Far West,1171,1152,958,1004,1030,1085,1260,1056,999,804,707,683,770,570,415,305,156,66,1110,1046,892,868,1014,1135,1186,983,866,740,689,643,759,584,587,497,312,173,28275
1991,10503,Dubbo,3090,3051,2845,2639,2191,2373,2555,2344,2420,1896,1673,1375,1363,1086,738,508,258,138,2848,2899,2735,2456,2267,2511,2677,2525,2245,1854,1619,1347,1292,1151,886,775,438,321,65389
1991,10601,Lower Hunter,3255,3294,3185,3106,2289,2290,2836,2812,2642,2116,1556,1493,1453,1187,935,641,325,168,3216,3255,3006,2776,2047,2387,3010,2999,2438,1870,1620,1502,1669,1440,1256,1006,663,428,72171
1991,10602,Maitland,2010,2077,2044,1958,1416,1483,1679,1716,1626,1309,932,868,890,700,575,373,214,96,1939,1962,1855,1847,1419,1561,1846,1856,1614,1222,995,917,1006,908,746,610,395,252,44916
1991,10603,Port Stephens,2101,2114,1856,1735,1349,1355,1727,1727,1559,1292,1062,998,1208,1224,827,542,205,83,1980,2013,1761,1572,1229,1495,1868,1839,1558,1192,1100,1151,1384,1243,889,576,279,171,46264
1991,10604,Upper Hunter,1410,1338,1264,1207,1123,1252,1263,1214,1121,973,718,605,524,394,275,222,97,60,1299,1247,1120,1051,965,1106,1194,1115,1025,818,613,535,471,432,364,297,189,115,29016
1991,10701,Dapto - Port Kembla,2653,2672,2470,3073,3210,3237,3055,2549,2517,2015,1789,1625,1639,1350,759,389,108,92,2518,2471,2316,2874,2912,2951,2856,2468,2354,2010,1772,1521,1597,1440,963,670,282,333,69510
1991,10703,Kiama - Shellharbour,2748,2973,2712,2585,2289,2461,2764,2612,2514,1850,1633,1371,1343,1114,725,472,191,102,2631,2879,2558,2604,2173,2479,2841,2636,2251,1804,1617,1325,1352,1188,840,555,341,220,64753
1991,10704,Wollongong,3916,3933,3739,4319,4448,4476,4305,3819,3785,3284,3048,2875,2890,2565,1838,1288,648,282,3786,3743,3591,4127,4166,4203,4111,3740,3629,3278,3033,2759,2845,2666,2103,1720,1066,582,110606
1991,10801,Great Lakes,790,834,766,707,426,526,666,700,630,619,545,623,952,976,724,411,173,73,784,782,700,613,399,545,731,741,667,596,637,753,1049,985,771,473,227,120,22714
1991,10802,Kempsey - Nambucca,1834,1898,1702,1471,996,1232,1581,1688,1553,1176,1074,1002,1146,1097,784,486,225,114,1690,1860,1645,1394,889,1385,1736,1609,1467,1159,1035,992,1146,1141,781,596,351,233,42168
1991,10804,Port Macquarie,1701,1887,1720,1587,1128,1255,1592,1664,1772,1299,1112,1126,1463,1717,1393,866,452,194,1674,1788,1814,1534,1085,1453,1773,1882,1684,1387,1233,1356,1706,1774,1414,1090,548,346,49469
1991,10805,Taree - Gloucester,1854,1976,1868,1673,1098,1320,1568,1648,1574,1455,1293,1303,1428,1210,861,633,294,139,1666,1783,1749,1494,1064,1252,1765,1579,1678,1437,1320,1304,1327,1151,979,712,508,405,46368
1991,10901,Albury,2192,2206,2207,2151,1883,1949,2177,1960,1943,1520,1251,991,1077,891,614,436,229,159,2112,2102,2114,2126,1897,1942,2193,2037,1860,1430,1158,1052,1088,1012,834,676,401,340,52210
1991,10902,Lower Murray,648,622,634,627,568,604,605,578,553,452,424,362,353,264,176,102,52,35,626,634,580,532,512,570,575,503,498,393,357,314,290,244,217,140,88,62,14794
1991,10903,Upper Murray exc. Albury,1690,1709,1603,1544,1284,1415,1646,1625,1534,1259,1143,1019,1124,1003,633,423,215,97,1534,1616,1677,1420,1137,1389,1568,1476,1352,1142,1081,1007,1061,941,707,500,282,237,41093
1991,11001,Armidale,1585,1553,1523,2038,2029,1509,1441,1420,1245,1078,898,743,673,571,399,282,142,88,1506,1457,1552,2464,2121,1420,1488,1340,1274,1012,879,748,704,574,522,378,266,225,39147
1991,11002,Inverell - Tenterfield,1620,1758,1612,1454,1163,1240,1480,1360,1534,1281,1195,1122,1015,780,575,433,219,126,1552,1565,1646,1452,1068,1304,1457,1349,1451,1194,1191,961,984,860,746,576,394,265,39982
1991,11003,Moree - Narrabri,1561,1432,1246,1222,1400,1395,1388,1174,1122,986,882,745,557,419,250,190,106,58,1421,1336,1204,1099,1213,1373,1258,1042,1014,872,784,608,505,410,343,253,180,100,31148
1991,11004,Tamworth - Gunnedah,3185,3279,3218,3248,2531,2747,2896,2778,2688,2267,1922,1706,1591,1269,958,638,344,174,3066,3189,3104,3055,2447,2811,2976,2733,2690,2224,1961,1623,1652,1506,1203,968,659,511,75817
1991,11101,Lake Macquarie - East,4180,4710,4501,4603,3367,3183,3830,4016,4004,3445,2629,2552,2700,2312,1704,1068,508,269,4198,4292,4146,4316,3132,3301,4169,4346,4139,3368,2933,2674,2961,2592,2090,1480,942,624,109284
1991,11102,Lake Macquarie - West,2247,2534,2420,2474,1807,1708,2056,2157,2152,1852,1415,1372,1449,1240,914,573,273,143,2256,2308,2228,2317,1680,1771,2237,2335,2224,1809,1577,1437,1591,1390,1121,794,505,334,58700
1991,11103,Newcastle,4148,3142,3038,5058,8537,8035,6956,5384,5255,3992,3920,2984,3600,3840,2445,1676,966,510,3589,3230,3185,5180,7868,7263,5384,4180,4702,3892,2891,3012,3075,3565,2844,2578,1746,1418,143088
1991,11201,Richmond Valley - Coastal,2170,2413,2305,1928,1401,1515,2122,2495,2402,1655,1232,1189,1488,1572,1235,804,390,187,1927,2241,2119,1769,1196,1609,2411,2631,2102,1477,1285,1267,1606,1659,1206,930,519,319,56776
1991,11202,Richmond Valley - Hinterland,2742,2878,3087,3245,2364,2309,2558,2615,2336,1767,1528,1443,1427,1323,1005,699,410,255,2517,2756,2621,2976,2361,2303,2693,2607,2377,1776,1613,1491,1522,1446,1219,1053,694,607,68623
1991,11203,Tweed Valley,2023,2147,1970,1694,1300,1600,2051,2055,1939,1470,1308,1235,1577,1732,1348,840,375,147,1918,1969,1906,1595,1348,1732,2157,2064,1800,1472,1317,1426,1720,1782,1389,885,535,359,54185
1991,11301,Griffith - Murrumbidgee (West),2093,2053,2046,2001,1631,1873,1920,1641,1612,1269,1270,1152,1067,823,542,372,199,106,2038,1853,1838,1726,1600,1778,1782,1568,1470,1278,1142,1016,995,953,609,501,328,248,46393
1991,11302,Tumut - Tumbarumba,662,688,660,571,489,564,617,598,581,467,417,371,383,319,224,140,83,40,617,666,602,554,423,497,633,565,520,418,377,336,350,330,281,189,112,85,15429
1991,11303,Wagga Wagga,3781,3808,3477,4059,3506,3307,3426,3185,2949,2327,1992,1642,1710,1348,951,672,354,212,3665,3770,3527,3700,3439,3276,3484,3125,2835,2251,1923,1789,1684,1548,1330,1043,663,480,86238
1991,11401,Shoalhaven,3170,3003,2659,2397,2060,2482,2801,2654,2444,1843,1577,1535,1832,1738,1293,794,373,171,2893,2972,2578,2199,2025,2414,2971,2706,2370,1816,1627,1786,2099,1795,1373,970,598,349,70367
1991,11402,Southern Highlands,1403,1495,1314,1235,935,975,1288,1456,1280,987,810,666,858,809,618,458,210,116,1346,1435,1223,1188,865,999,1444,1430,1186,947,769,756,921,880,759,529,363,272,34225
1991,11501,Baulkham Hills,3108,3730,4313,5106,3869,2427,2763,3384,4413,4351,3076,1976,1579,1148,733,470,239,123,3042,3534,4218,4875,3492,2430,3188,3941,4877,4032,2594,1749,1441,1251,944,764,494,418,94092
1991,11502,Dural - Wisemans Ferry,715,854,984,1166,884,557,635,774,1008,994,703,453,361,263,167,109,54,27,699,808,963,1113,800,558,730,901,1115,921,591,401,329,286,217,174,115,96,21525
1991,11503,Hawkesbury,796,863,791,734,599,602,776,817,811,587,428,352,341,329,237,178,96,59,833,784,754,713,555,662,841,853,803,585,436,366,374,386,322,266,165,116,19210
1991,11504,Rouse Hill - McGraths Hill,374,463,551,657,482,281,317,411,558,559,393,240,185,132,82,51,28,11,365,439,538,626,427,283,378,489,622,517,318,208,164,142,102,79,47,35,11554
1991,11601,Blacktown,4855,4811,4664,5043,4927,4801,4682,4395,4363,3411,2799,2446,2237,1578,878,589,177,100,4604,4547,4490,4749,4723,4621,4873,4543,4316,3210,2706,2525,2157,1806,1156,763,436,266,113247
1991,11602,Blacktown - North,1156,1172,1085,1123,1004,1020,1092,1079,1096,710,504,349,278,216,126,84,35,18,1081,1124,1033,981,901,989,1132,1118,988,617,415,317,259,241,174,115,78,57,23767
1991,11603,Mount Druitt,4484,4250,3874,3938,3957,3659,3231,2907,3067,2446,1812,1231,904,621,317,177,75,29,4309,4085,3813,3822,4049,3933,3560,3147,3252,2426,1594,1143,937,679,447,324,206,183,82888
1991,11701,Botany,1060,1051,1095,1508,1894,1865,1694,1425,1396,1145,972,826,831,569,367,266,83,65,983,960,1006,1403,1864,1654,1565,1413,1374,1162,912,712,802,718,576,421,203,226,36066
1991,11702,Marrickville - Sydenham - Petersham,1747,1419,1405,1884,2787,3320,3360,2654,2177,1721,1498,1327,1169,812,546,394,193,103,1644,1471,1360,1845,2701,3118,2959,2356,1969,1480,1277,1072,966,803,638,557,381,327,55440
1991,11703,Sydney Inner City,2005,1458,1419,2723,5943,7141,6204,4762,4019,3091,2617,2336,2227,1740,1221,792,383,232,1956,1427,1438,2874,6044,6268,4750,3631,2971,2349,2021,1672,1686,1634,1372,1240,786,668,95100
