No.,Code,Name,Age,Males1996,Males2001,Females1996,Females2001
1,10101,Goulburn - Yass,0–4,2466,2248.0,2280,2077.0
,,,5–9,2582,2450.0,2400,2302.0
,,,10–14,2426,2467.0,2360,2259.0
,,,15–19,2212,2141.0,2060,2051.0
,,,20–24,1914,1740.0,1656,1467.0
,,,25–29,2038,1768.0,1869,1777.0
,,,30–34,2286,2045.0,2218,1997.0
,,,35–39,2411,2398.0,2290,2263.0
,,,40–44,2257,2401.0,2186,2282.0
,,,45–49,2312,2235.0,2150,2203.0
,,,50–54,1939,2308.0,1793,2171.0
,,,55–59,1661,1992.0,1553,1902.0
,,,60–64,1421,1681.0,1398,1570.0
,,,65–69,1343,1380.0,1259,1351.0
,,,70–74,952,1280.0,1097,1244.0
,,,75–79,599,773.0,809,1052.0
,,,80–84,309,444.0,578,710.0
,,,85+,177,263.0,525,678.0
2,10102,Queanbeyan,0–4,1610,1709.0,1576,1620.0
,,,5–9,1563,1746.0,1485,1694.0
,,,10–14,1397,1767.0,1369,1640.0
,,,15–19,1336,1565.0,1292,1499.0
,,,20–24,1613,1364.0,1596,1329.0
,,,25–29,1729,1449.0,1875,1503.0
,,,30–34,1828,1759.0,1776,1930.0
,,,35–39,1758,2062.0,1625,1975.0
,,,40–44,1498,1950.0,1434,1885.0
,,,45–49,1471,1792.0,1311,1639.0
,,,50–54,1141,1695.0,1048,1554.0
,,,55–59,906,1221.0,795,1143.0
,,,60–64,648,954.0,607,812.0
,,,65–69,544,643.0,581,603.0
,,,70–74,413,528.0,515,549.0
,,,75–79,259,349.0,360,455.0
,,,80–84,119,184.0,246,291.0
,,,85+,73,107.0,166,259.0
3,10103,Snowy Mountains,0–4,701,600.0,701,590.0
,,,5–9,665,699.0,650,656.0
,,,10–14,655,704.0,544,666.0
,,,15–19,533,681.0,516,519.0
,,,20–24,730,551.0,545,448.0
,,,25–29,871,607.0,653,530.0
,,,30–34,888,652.0,789,618.0
,,,35–39,1005,728.0,804,731.0
,,,40–44,861,822.0,617,737.0
,,,45–49,735,722.0,646,633.0
