Females_1996-01,Females_2001-06,Females_2006-11,Females_2011-16,Males_1996-01,Males_2001-06,Males_2006-11,Males_2011-16
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
81.91,83.06,83.84,84.5,76.38,78.11,79.31,80.39
