No.,Code,Name,1996,2001,2006,2011,2016
1,10101,Goulburn - Yass,61786.0,63370,64583.55110550445,65498.70397774453,66255.1960563454
2,10102,Queanbeyan,39563.0,45224,49232.65226822172,52972.170789825424,56555.06396130274
3,10103,Snowy Mountains,18699.0,18810,19243.521052065986,19585.61435837641,19878.211042644212
4,10104,South Coast,58677.0,64093,68491.66076228258,72509.81784955059,76304.33199983508
5,10201,Gosford,149899.0,160596,170956.47755187808,180369.95400658215,189227.27554457105
6,10202,Wyong,118851.0,134000,146035.74010890283,157275.21005205598,168051.8768709977
7,10301,Bathurst,38792.0,40816,42639.77564296309,44237.458543396606,45704.92808167149
8,10302,Lachlan Valley,59383.0,58987,59208.1829409331,59171.39403997062,59009.31957241298
9,10303,Lithgow - Mudgee,43392.0,43738,44347.623996239665,44760.752590318225,45072.37535084153
10,10304,Orange,49636.0,52288,54056.271107748995,55550.86040941536,56891.609187318485
11,10401,Clarence Valley,45589.0,47789,49914.15817531071,51774.84985795547,53483.28399269393
12,10402,Coffs Harbour,71325.0,75674,80469.30389925773,84819.37797091554,88908.08377211507
13,10501,Bourke - Cobar - Coonamble,31565.0,30532,30341.878313111727,30022.520193245524,29647.583593106792
14,10502,Broken Hill and Far West,25300.0,24208,23154.51460022048,22072.35332392269,21028.955676256817
15,10503,Dubbo,66869.0,68842,70714.67656696307,72242.26158224765,73579.93055082351
16,10601,Lower Hunter,73742.0,76441,78672.03483474461,80514.60293973319,82141.89423745534
17,10602,Maitland,47536.0,52324,55444.527245717116,58259.80222345745,60896.220411900526
18,10603,Port Stephens,53764.0,61044,66973.30382244996,72544.72646608006,77910.1622590452
19,10604,Upper Hunter,29038.0,28529,28640.876764777488,28627.98788948405,28554.42493370615
20,10701,Dapto - Port Kembla,69879.0,72302,73979.48736608808,75305.12408888023,76440.15294579323
21,10703,Kiama - Shellharbour,72024.0,79109,84983.55620436391,90385.72189008394,95510.37725494569
22,10704,Wollongong,113220.0,115960,118953.86553339417,121372.19780919065,123475.42929691373
23,10801,Great Lakes,25580.0,28094,30284.91158672794,32307.78308941342,34232.068639532474
24,10802,Kempsey - Nambucca,44094.0,45235,46743.90620008093,48016.705726477856,49156.958717192334
25,10804,Port Macquarie,57150.0,64874,71059.34781813918,76862.83730629693,82445.9514390502
26,10805,Taree - Gloucester,48401.0,49425,50970.824353000455,52262.00173039882,53411.10549733712
27,10901,Albury,54031.0,55583,57298.76840638727,58728.91306577307,59999.90413337091
28,10902,Lower Murray,14550.0,14120,14027.689764857132,13875.73849372389,13698.279463916739
29,10903,Upper Murray exc. Albury,41405.0,42032,42771.39780308621,43315.52682917446,43756.65864528237
30,11001,Armidale,37440.0,36743,36288.59981920833,35687.056616805814,35030.44143767438
31,11002,Inverell - Tenterfield,38128.0,38138,37880.82375155262,37462.789489160896,36976.21405542699
32,11003,Moree - Narrabri,29043.0,30007,29908.703210498385,29681.253955499207,29395.628957550896
33,11004,Tamworth - Gunnedah,74330.0,74837,75234.53143867754,75305.05762919516,75214.95947648751
34,11101,Lake Macquarie - East,112045.0,116872,120652.88786699163,123827.52525487996,126662.81745765106
35,11102,Lake Macquarie - West,62489.0,67249,70908.38681249178,74181.21778999132,77228.4977038099
36,11103,Newcastle,144308.0,148073,151255.24059194772,153726.58013049877,155815.69011097855
37,11201,Richmond Valley - Coastal,65427.0,71896,78009.27241394373,83693.23457082115,89126.49193220118
38,11202,Richmond Valley - Hinterland,69760.0,68887,69662.43515634422,70136.45513752349,70457.45371862827
39,11203,Tweed Valley,64939.0,73980,81895.2120451358,89389.80969490673,96646.6906876705
40,11301,Griffith - Murrumbidgee (West),47152.0,49373,50891.43638849068,52156.34792826905,53280.042730773595
41,11302,Tumut - Tumbarumba,15187.0,15112,15150.732564400425,15123.401746404876,15064.300264385298
42,11303,Wagga Wagga,87269.0,87629,88976.0998469762,89924.17404993178,90664.34855499573
43,11401,Shoalhaven,78846.0,86827,93535.88184666215,99725.51690986975,105610.42333528414
44,11402,Southern Highlands,38118.0,42327,45626.524236310215,48672.8775418267,51570.69805524226
45,11501,Baulkham Hills,103965.0,118274,128070.74315552403,137160.38204650304,145836.3724598132
46,11502,Dural - Wisemans Ferry,23313.0,25175,26707.521896020964,28092.734242828392,29391.57073945904
47,11503,Hawkesbury,21274.0,23519,25280.68769286373,26901.876128399595,28440.541270248974
48,11504,Rouse Hill - McGraths Hill,12088.0,18531,21335.19152341041,24068.468550705722,26768.66274114637
49,11601,Blacktown,115608.0,120913,124760.16003941088,127982.2035472339,130854.90058999596
50,11602,Blacktown - North,32892.0,47036,56664.65415390048,66335.71758099964,76043.08734025205
51,11603,Mount Druitt,91514.0,97202,103199.54131156218,108627.23037174947,113720.63915847395
52,11701,Botany,35714.0,36966,37641.772215404104,38144.77271860114,38556.313168680135
53,11702,Marrickville - Sydenham - Petersham,54122.0,50997,50011.71941881039,48842.03633314538,47620.58320175247
54,11703,Sydney Inner City,109997.0,133173,148380.48890018155,162855.00712510993,176922.42082315858
55,11801,Eastern Suburbs - North,122983.0,120374,122477.05020362482,124021.47005438445,125271.42097698331
56,11802,Eastern Suburbs - South,122696.0,124456,128050.41171024385,131013.65366152802,133627.48143619281
57,11901,Bankstown,141993.0,148537,152816.77817878893,156343.61004526718,159453.70933262038
58,11902,Canterbury,124781.0,123606,125570.22913591823,126968.91783848652,128072.07301220746
59,11903,Hurstville,102303.0,110098,114271.39966644403,117854.93494590736,121103.39579477081
60,11904,Kogarah - Rockdale,111042.0,115196,118028.10277173326,120293.66132255898,122250.54197675134
61,12001,Canada Bay,55441.0,61230,64052.14289710614,66533.02766495511,68816.91004192359
62,12002,Leichhardt,46945.0,50146,51907.425010218496,53404.34209277565,54752.04525956546
63,12003,Strathfield - Burwood - Ashfield,126817.0,128351,130229.78143017167,131528.10054231336,132525.29162211675
64,12101,Chatswood - Lane Cove,87427.0,93463,97416.73442530309,100858.40138065713,104006.43558182003
65,12102,Hornsby,67669.0,71762,74791.20379359905,77427.40697768496,79838.2931365954
66,12103,Ku-ring-gai,105008.0,107270,108486.33204627565,109232.91222869082,109740.87611088874
67,12104,North Sydney - Mosman,83037.0,85804,89308.76238977426,92346.74889446794,95117.853254214
68,12201,Manly,37468.0,38428,39498.896735616254,40376.26108201585,41146.862994291994
69,12202,Pittwater,54506.0,56045,57647.083537024126,58965.510163976374,60127.06377401496
70,12203,Warringah,130093.0,135343,138598.19817591523,141190.44688375577,143422.27611584024
71,12301,Camden,27069.0,39523,48629.0101692617,57899.1873334783,67237.28848952899
72,12302,Campbelltown (NSW),148586.0,150579,154415.88348744967,157507.2572850198,160191.00116780703
73,12303,Wollondilly,29861.0,33097,35713.094717158514,38131.19430472492,40433.1941188489
74,12401,Blue Mountains,74135.0,76385,78428.69880470018,80090.70917708057,81543.00757710927
75,12403,Penrith,112232.0,121946,130155.10419868137,137641.6371071659,144703.53786719003
76,12404,Richmond - Windsor,33961.0,35728,37884.038624184606,39831.28099511977,41656.13091460627
77,12405,St Marys,53592.0,53077,53785.29398715788,54256.4937772267,54605.66572166653
78,12501,Auburn,53595.0,59010,62653.631944149594,65951.28010920594,69045.9667663178
79,12502,Carlingford,55173.0,57222,58505.8271146728,59512.851316726636,60370.417922621076
80,12503,Merrylands - Guildford,121189.0,123819,126048.63548557222,127700.94182129632,129048.06130938184
81,12504,Parramatta,101405.0,107468,111698.01446011427,115347.80152793485,118666.89245287678
82,12601,Pennant Hills - Epping,40037.0,42302,43392.72414435839,44273.54670916672,45039.464457378344
83,12602,Ryde - Hunters Hill,111522.0,115210,118012.80031255232,120250.08512835689,122179.57357152252
84,12701,Bringelly - Green Valley,52045.0,71602,84929.92702383216,98181.98246276134,111425.43737425993
85,12702,Fairfield,175918.0,176933,181373.39334749692,184940.2847238788,188030.2820006393
86,12703,Liverpool,74994.0,90280,100215.95138894801,109645.10015225857,118789.80812552369
87,12801,Cronulla - Miranda - Caringbah,97490.0,102827,106077.27502593238,108796.63925311978,111219.49206215542
88,12802,Sutherland - Menai - Heathcote,104389.0,109074,114068.36013510471,118455.59474947669,122492.51796588869
89,20101,Ballarat,80353.0,84091,86369.50034451693,88226.78750365894,89852.35652434739
90,20102,Creswick - Daylesford - Ballan,25349.0,25918,26536.678876535992,27028.578701678565,27451.60521833155
91,20103,Maryborough - Pyrenees,24248.0,23952,24245.23352029526,24432.62335577485,24565.922112896784
92,20201,Bendigo,71356.0,76312,79404.52412907241,82082.57627959928,84523.81006494374
93,20202,Heathcote - Castlemaine - Kyneton,39197.0,39809,41155.086896639245,42292.81396752272,43313.42035164398
94,20203,Loddon - Elmore,12477.0,11933,11585.53731067992,11204.263923904156,10821.490978521906
95,20301,Barwon - West,11494.0,13098,14115.996092735288,15055.653169360181,15949.344730985995
96,20302,Geelong,154225.0,159583,163039.35411574168,165728.51283992326,168004.86070406402
97,20303,Surf Coast - Bellarine Peninsula,46085.0,50288,53786.494027152694,56986.068883411426,60009.9448434591
98,20401,Upper Goulburn Valley,44285.0,46428,47424.04697696113,48197.25964885067,48850.68160620978
99,20402,Wangaratta - Benalla,43308.0,43571,44003.48704522861,44247.85483734647,44397.601210917295
100,20403,Wodonga - Alpine,59495.0,62110,64282.356424758604,66127.38381592526,67787.83227866123
101,20501,Baw Baw,34445.0,35933,37026.998916383454,37936.856655442716,38744.24605403633
102,20502,Gippsland - East,39175.0,39017,40000.25680645053,40790.74129648353,41475.93720613548
103,20503,Gippsland - South West,47024.0,51155,53169.169391606105,54907.13041518239,56487.66402220247
104,20504,Latrobe Valley,70509.0,69435,68279.05806541146,66860.53222497633,65357.58379526352
105,20505,Wellington,41324.0,40661,40337.271105983586,39843.60782388008,39279.20570502604
106,20601,Brunswick - Coburg,73615.0,72096,71978.78514037952,71549.17473634664,70975.76514830935
107,20602,Darebin - South,46010.0,46091,46454.188530588355,46616.96727702259,46679.82175656498
108,20603,Essendon,56903.0,57155,58258.144568426054,59091.81173586774,59782.088209692156
109,20604,Melbourne City,44291.0,55399,61759.61255424893,67816.29902510929,73704.46245867258
110,20605,Port Phillip,75562.0,80054,83889.08349742228,87274.63194793304,90399.94756248732
111,20606,Stonnington - West,50138.0,51460,52888.64414325717,54058.31384917977,55085.173394184116
112,20607,Yarra,67448.0,69294,71624.27353371232,73592.26686652994,75356.72526013138
113,20701,Boroondara,152796.0,156246,159797.59161021197,162591.61112175905,164976.05944636182
114,20702,Manningham - West,86015.0,87398,87637.03214619716,87493.95214590424,87166.83614060667
115,20703,Whitehorse - West,86519.0,90188,91966.5219038728,93318.31423627643,94442.57263146668
116,20801,Bayside,85768.0,88262,89935.39561949043,91193.85633540557,92231.90331315437
117,20802,Glen Eira,125688.0,128728,131901.91382820523,134442.39486301842,136637.65570557708
118,20803,Kingston,92708.0,98576,102369.88540143553,105633.99046975146,108596.74531277023
119,20804,Stonnington - East,37812.0,37964,38566.589157652306,38995.50906132473,39333.68438652364
120,20901,Banyule,117234.0,117967,118708.86411070339,118935.96285451429,118908.63240076145
121,20902,Darebin - North,80524.0,80976,81481.85045049062,81634.32580589192,81612.1852668236
122,20903,Nillumbik - Kinglake,60568.0,64121,67642.10103606152,70794.05051483218,73730.50112944448
123,20904,Whittlesea - Wallan,111590.0,125306,134566.4972997298,143078.93140967606,151151.8710257008
124,21001,Keilor,57023.0,56978,57069.085925732536,56911.33954590467,56634.97242173166
125,21002,Macedon Ranges,20424.0,23467,25385.6614986672,27163.973817741393,28860.121678155057
126,21003,Moreland - North,61434.0,62672,62792.685566719454,62639.5595538099,62355.50508715492
127,21004,Sunbury,27708.0,30508,33351.20506176173,36014.079660720075,38572.5744345526
128,21005,Tullamarine - Broadmeadows,94054.0,106571,115128.90816962613,123049.28232400298,130596.08238192272
129,21101,Knox,136078.0,146562,153543.99185074875,159703.8680852014,165388.0146655147
130,21102,Manningham - East,23308.0,25724,27647.5208717887,29417.382241840376,31096.987234480475
131,21103,Maroondah,95417.0,99296,102389.17006270245,104971.1589050199,107268.05839289172
132,21104,Whitehorse - East,56219.0,56673,56582.39657216618,56246.202934560075,55796.92365733491
133,21105,Yarra Ranges,136086.0,140972,144066.2093695316,146481.11755018664,148530.03153292
134,21201,Cardinia,41923.0,46967,50573.81926005496,53899.80850030303,57060.95625724435
135,21202,Casey - North,87906.0,104094,117098.2342739868,129566.51100342402,141746.88688807026
136,21203,Casey - South,60120.0,76350,88638.87683401162,100684.97367253529,112627.84353397337
137,21204,Dandenong,167057.0,162211,161284.8655064202,159669.80172422325,157755.8136530881
138,21205,Monash,153341.0,155753,155612.1665506141,154794.85575697364,153663.45332933162
139,21301,Brimbank,145046.0,157872,167896.59433555097,176992.0990480685,185542.1623559026
140,21302,Hobsons Bay,72555.0,78274,82250.83934419844,85783.23647582346,89057.34017367732
141,21303,Maribyrnong,60905.0,60848,60842.36798127032,60571.86558051898,60177.25287690509
142,21304,Melton - Bacchus Marsh,51294.0,65112,72928.86433971605,80399.15256305526,87680.19517141384
143,21305,Wyndham,80406.0,91184,100049.10788289242,108379.74833332511,116402.80677108456
144,21401,Frankston,108435.0,113306,117467.24457291076,121025.35834882702,124241.83730481792
145,21402,Mornington Peninsula,116984.0,131574,140348.083943879,148343.3288306466,155880.92404036777
146,21501,Grampians,63784.0,61983,60983.246485636395,59747.24427748633,58433.59903970989
147,21502,Mildura,45731.0,48865,50853.79725917279,52576.961797612916,54148.29522381848
148,21503,Murray River - Swan Hill,41288.0,40118,39442.63727358452,38615.997065927906,37741.117572053656
149,21601,Campaspe,34885.0,36030,37092.51181596885,37971.54893467814,38748.80656854118
150,21602,Moira,25822.0,26404,27116.91131154249,27697.654128683447,28205.71372975218
151,21603,Shepparton,53845.0,57005,59354.86761484394,61394.0483033468,63255.45465222806
152,21701,Glenelg - Southern Grampians,38344.0,37043,36206.40622880263,35244.39406845317,34254.769888139104
153,21702,Warrnambool - Otway Ranges,82024.0,82624,83395.79259182388,83810.0293420693,84044.81968960394
154,30101,Capalaba,61009.0,67254,73402.00518876997,79151.28694358317,84669.25694929273
155,30102,Cleveland - Stradbroke,46385.0,55390,63033.24461142649,70423.02390543211,77684.0941521371
156,30103,Wynnum - Manly,46518.0,51802,55169.130544490275,58230.51760672683,61112.32086931781
157,30201,Bald Hills - Everton Park,28462.0,32667,36223.21236278511,39595.0971132472,42863.23994919879
158,30202,Chermside,59874.0,60859,61171.044078406325,61217.11120336538,61132.6942079826
159,30203,Nundah,28120.0,29590,30661.493045269614,31575.931914986722,32401.524200337586
160,30204,Sandgate,42845.0,46411,48987.64769877044,51296.60657424231,53449.21014510916
161,30301,Carindale,37379.0,42190,45210.11801212801,47978.87494027817,50599.89847848485
162,30302,Holland Park - Yeronga,56095.0,57293,58339.71669957627,59118.68375624001,59755.92066950534
163,30303,Mt Gravatt,55166.0,58493,61651.48698816616,64474.19713950444,67101.06641855136
164,30304,Nathan,32726.0,33332,33621.22305549023,33765.86400029498,33838.14614071071
165,30305,Rocklea - Acacia Ridge,27934.0,36140,41719.01863118181,47166.78672066043,52554.86358562436
166,30306,Sunnybank,33119.0,41010,45173.29856064987,49098.98993643845,52888.92512141173
167,30401,Centenary,26627.0,30047,32837.274722903225,35449.839037452424,37959.49547548802
168,30402,Kenmore - Brookfield - Moggill,34472.0,37492,39950.45930042636,42187.40666597393,44294.22473851299
169,30403,Sherwood - Indooroopilly,41276.0,42207,43341.22812691939,44264.374799654426,45071.496027789726
170,30404,The Gap - Enoggera,40754.0,42089,43800.54739151909,45283.336687398594,46635.381279247755
171,30501,Brisbane Inner,32946.0,39013,42045.00429036917,44843.67240279043,47505.429997374755
172,30502,Brisbane Inner - East,28970.0,30983,32002.25588173056,32860.24843124592,33627.829891021334
173,30503,Brisbane Inner - North,60442.0,63290,65312.946488343565,67008.38501562612,68520.7151515726
174,30504,Brisbane Inner - West,45589.0,47397,48858.597886559575,50076.68656237521,51159.10181097561
175,30601,Cairns - North,31968.0,34441,38440.37717769497,42252.133463155165,45960.23305246965
176,30602,Cairns - South,74830.0,77296,83271.72845171552,88785.20194840325,94027.39826588135
177,30603,Innisfail - Cassowary Coast,34414.0,35408,36902.62279061483,38203.33597368416,39392.87603416169
178,30604,Port Douglas - Daintree,9304.0,10224,11336.010732889983,12390.307598791642,13412.115096498677
179,30605,Tablelands (East) - Kuranda,34067.0,34473,35766.75577854791,36876.19537145797,37881.02714333686
180,30701,Darling Downs (West) - Maranoa,40555.0,41698,41586.65582263346,41295.35909004332,40922.33043847514
181,30702,Darling Downs - East,36948.0,38228,38830.12550241112,39257.56907040643,39593.802126565664
182,30703,Granite Belt,33961.0,34893,35753.63874876705,36442.56752828183,37037.91113174075
183,30801,Central Highlands (Qld),26934.0,25595,25541.079630193817,25376.45036255969,25161.167062326407
184,30802,Gladstone - Biloela,58953.0,61013,63482.01192483932,65619.7413408186,67568.20764216442
185,30803,Rockhampton,94993.0,96343,99606.74024668887,102366.03265459462,104841.72140857147
186,30901,Broadbeach - Burleigh,49679.0,55021,58508.973149756,61673.21203797128,64647.4036692328
187,30902,Coolangatta,42048.0,46644,50420.70749452358,53918.402518142044,57252.67165277486
188,30903,Gold Coast - North,44477.0,52268,58614.65409757591,64685.545559361075,70606.51928211
189,30904,Gold Coast Hinterland,12294.0,14088,15641.305432802197,17115.595478232917,18545.55963462677
190,30905,Mudgeeraba - Tallebudgera,16504.0,23936,29493.89117630625,35157.19415484223,40862.69544494107
191,30906,Nerang,39129.0,45036,51160.12720717665,57073.74496543796,62879.390370700145
192,30907,Ormeau - Oxenford,33205.0,45959,56447.189469703255,67112.46410957948,77854.02068087898
193,30908,Robina,22011.0,29690,38602.74388931765,47976.15605759944,57317.987981116254
194,30909,Southport,43091.0,46673,51534.33061961089,56127.5344675739,60568.309566465425
195,30910,Surfers Paradise,26598.0,30862,33543.36954395942,36040.73325652168,38430.82307218311
196,31001,Forest Lake - Oxley,43568.0,51476,57372.61334191677,62986.43199913537,68443.33243745308
197,31002,Ipswich Hinterland,45715.0,47490,50684.10188578371,53596.83526627657,56344.218829731006
198,31003,Ipswich Inner,80021.0,80660,82767.4146734089,84473.5963082398,85959.84603879468
199,31004,Springfield - Redbank,35044.0,37562,40436.14745061855,43085.723930538574,45603.46772729718
200,31101,Beaudesert,9952.0,9977,10211.497249601278,10397.328683749127,10556.762642630816
201,31102,Beenleigh,28695.0,30985,33627.07186316724,36084.15562597354,38433.23398726511
202,31103,Browns Plains,57203.0,61411,68600.72250863996,75457.68411017754,82131.30268014371
203,31104,Jimboomba,21411.0,25159,28964.69335577012,32674.015904145766,36338.35903062597
