No.,Code,Name,Model,Customised,Crude
1,10101,Goulburn - Yass,54568.015999999996,,0.1744
2,10102,Queanbeyan,36967.132,,
3,10103,Snowy Mountains,16353.923999999999,,
4,10104,South Coast,53527.72,,
5,10201,Gosford,135375.82,,
6,10202,Wyong,110243.036,,
7,10301,Bathurst,34709.088,,
8,10302,Lachlan Valley,51609.32,,
9,10303,Lithgow - Mudgee,37988.68,,
10,10304,Orange,44438.864,,
11,10401,Clarence Valley,40712.808,,
12,10402,Coffs Harbour,64091.564,,
13,10501,Bourke - Cobar - Coonamble,27074.292,,
14,10502,Broken Hill and Far West,21585.488,,
15,10503,Dubbo,59169.996,,
16,10601,Lower Hunter,65479.788,,
17,10602,Maitland,43538.96,,
18,10603,Port Stephens,50056.288,,
19,10604,Upper Hunter,25099.212,,
20,10701,Dapto - Port Kembla,61990.916,,
21,10703,Kiama - Shellharbour,65893.988,,
22,10704,Wollongong,99922.48,,
23,10801,Great Lakes,23401.864,,
24,10802,Kempsey - Nambucca,38947.444,,
25,10804,Port Macquarie,53202.464,,
26,10805,Taree - Gloucester,42652.136,,
27,10901,Albury,47791.704,,
28,10902,Lower Murray,12500.119999999999,,
29,10903,Upper Murray exc. Albury,36378.532,,
30,11001,Armidale,32343.788,,
31,11002,Inverell - Tenterfield,33251.976,,
32,11003,Moree - Narrabri,25745.8,,
33,11004,Tamworth - Gunnedah,65036.812,,
34,11101,Lake Macquarie - East,99807.81199999999,,
35,11102,Lake Macquarie - West,56565.768,,
36,11103,Newcastle,127478.116,,
37,11201,Richmond Valley - Coastal,59872.828,,
38,11202,Richmond Valley - Hinterland,60450.092000000004,,
39,11203,Tweed Valley,60568.684,,
40,11301,Griffith - Murrumbidgee (West),42084.899999999994,,
41,11302,Tumut - Tumbarumba,13210.364,,
42,11303,Wagga Wagga,76255.528,,
43,11401,Shoalhaven,72233.428,,
44,11402,Southern Highlands,35074.020000000004,,
45,11501,Baulkham Hills,96896.204,,
46,11502,Dural - Wisemans Ferry,21140.767999999996,,
47,11503,Hawkesbury,19529.748,,
48,11504,Rouse Hill - McGraths Hill,13349.884,,
49,11601,Blacktown,103123.156,,
50,11602,Blacktown - North,34848.608,,
51,11603,Mount Druitt,82280.17599999999,,
52,11701,Botany,31688.48,,
53,11702,Marrickville - Sydenham - Petersham,45831.884,,
54,11703,Sydney Inner City,106022.12,,
55,11801,Eastern Suburbs - North,106103.652,,
56,11802,Eastern Suburbs - South,107758.272,,
57,11901,Bankstown,126671.08,,
58,11902,Canterbury,108296.73199999999,,
59,11903,Hurstville,92606.83600000001,,
60,11904,Kogarah - Rockdale,98639.76800000001,,
61,12001,Canada Bay,50868.556,,
62,12002,Leichhardt,42331.676,,
63,12003,Strathfield - Burwood - Ashfield,111253.248,,
64,12101,Chatswood - Lane Cove,78868.04000000001,,
65,12102,Hornsby,60791.916,,
66,12103,Ku-ring-gai,92553.208,,
67,12104,North Sydney - Mosman,73614.676,,
68,12201,Manly,33090.656,,
69,12202,Pittwater,48200.236,,
70,12203,Warringah,115730.09599999999,,
71,12301,Camden,29034.112,,
72,12302,Campbelltown (NSW),130435.93999999999,,
73,12303,Wollondilly,27449.688000000002,,
74,12401,Blue Mountains,65626.72,,
75,12403,Penrith,102101.608,,
76,12404,Richmond - Windsor,30384.404,,
77,12405,St Marys,46507.684,,
78,12501,Auburn,49095.780000000006,,
79,12502,Carlingford,49004.219999999994,,
80,12503,Merrylands - Guildford,106823.488,,
81,12504,Parramatta,91068.62800000001,,
82,12601,Pennant Hills - Epping,35899.804,,
83,12602,Ryde - Hunters Hill,98855.152,,
84,12701,Bringelly - Green Valley,53910.092000000004,,
85,12702,Fairfield,153843.036,,
86,12703,Liverpool,72059.46399999999,,
87,12801,Cronulla - Miranda - Caringbah,87338.212,,
88,12802,Sutherland - Menai - Heathcote,93069.868,,
89,20101,Ballarat,71697.584,,
90,20102,Creswick - Daylesford - Ballan,22352.412,,
91,20103,Maryborough - Pyrenees,21015.2,,
