Sex,period_value,2001-06,2006-11,2011-16
Females,Birth - 0-4,-106.33881866340334,810.3520196460117,1028.1826058032536
Females,0-4 - 5-9,27657.547911295987,30345.209125177767,31555.91570109583
Females,5-9 - 10-14,22417.076490469557,23035.330460239522,25015.363531754618
Females,10-14 - 15-19,21441.00937894997,21203.549010461975,21768.415210704217
Females,15-19 - 20-24,14678.823258242734,13526.347665301968,12450.930184290582
Females,20-24 - 25-29,25641.987599149084,22473.942934424234,21168.43116387429
Females,25-29 - 30-34,35699.7154184698,40134.956756078274,38442.0820202415
Females,30-34 - 35-39,28087.99524855949,28939.523376582743,31786.748215801534
Females,35-39 - 40-44,17133.98185041677,17004.018604721317,17552.029785667855
Females,40-44 - 45-49,6092.514748548838,5726.802646931673,5550.093323857107
Females,45-49 - 50-54,9143.172562924708,7343.333732335769,7021.533089105764
Females,50-54 - 55-59,7557.889893603087,6768.9792398273585,5353.217496404352
Females,55-59 - 60-64,6565.09854094701,3834.053180622559,3286.856847732044
Females,60-64 - 65-69,5241.68891028826,4530.1724736854285,3235.2659667955377
Females,65-69 - 70-74,3176.5958718932634,2950.165350996962,2574.5357152920733
Females,70-74 - 75-79,4622.48395699617,4667.503904431018,4608.6111089622755
Females,75-79 - 80-84,8765.190695098368,8816.320491916682,8872.572922085223
Females,80+ - 85+,10648.689842600172,10699.407722417003,10752.291303319013
Males,Birth - 0-4,-56.547141113017005,902.6259368934675,1126.5161524589344
Males,0-4 - 5-9,27828.902932964305,30602.919910113018,31880.747052299503
Males,5-9 - 10-14,22338.320660236106,23095.46898206865,25134.40095471009
Males,10-14 - 15-19,18265.400418346693,17905.395334275046,18601.84276316711
Males,15-19 - 20-24,4597.939806385586,3329.686999055204,1950.4815841338186
Males,20-24 - 25-29,2530.151733914562,-632.7038227254479,-2285.3899380583625
Males,25-29 - 30-34,23430.672344878698,28419.622324899563,26591.662304098554
Males,30-34 - 35-39,24878.46229772628,26202.53530564868,29243.569432250206
Males,35-39 - 40-44,12433.01293201363,12674.673218943444,13533.718516231655
Males,40-44 - 45-49,3519.28454641843,3353.1075656045787,3474.1429457354616
Males,45-49 - 50-54,8954.420712926421,7372.736276035559,7236.153506551622
Males,50-54 - 55-59,10718.089258493048,10436.713364732936,9289.886458196908
Males,55-59 - 60-64,12472.401831374606,10576.889169629681,10412.576691944178
Males,60-64 - 65-69,9577.129907878243,9056.007694671269,8270.88924944686
Males,65-69 - 70-74,5770.594881409372,5613.498682562771,5364.459347327545
Males,70-74 - 75-79,2013.0577912485678,2022.2843941465762,1881.5451511211068
Males,75-79 - 80-84,3393.7109906474507,3395.3047950520413,3411.5788396244534
Males,80+ - 85+,2869.8707344606955,2863.265172594489,2858.142795973283
