"Area","Sex","Period-Cohort","ERP(t-5)","Deaths","Net mig","ERP(t)","Prelim mig (model rates x pop-at-risk)","Scaled mig (adjusted for pop size)","Prelim in (consistent with total net mig)","Prelim out (consistent with total net mig)","scaling factor a (unsmoothed)","scaling factor b (smoothed)","In-mig (consistent with cohort net mig)","Out-mig (consistent with cohort net mig)","Adjusted net mig"
"Goulburn - Yass","Females","Birth - 0-4",2177.53637028277,12.4873269683236,-88.0490433144495,2077,1435.27777390305,590.320329260232,584.441135462726,596.258664890184,0.958223570262317,0.958223570262317,560.025271431256,622.254224791148,-62.2289533598923
"Goulburn - Yass","Females","0-4 - 5-9",2280,2.05948191576026,24.0594819157603,2302,2615.40676805652,1075.69963984745,1064.98639428043,1086.52065545848,1.01277709189184,1.01277709189184,1078.59382330371,1072.81322233393,5.78060096977739
"Goulburn - Yass","Females","5-9 - 10-14",2400,1.20578216771914,-139.794217832281,2259,2030.7090246262,835.21729510878,826.899092096652,843.619175200751,0.936519790552213,0.936519790552213,774.407364538172,900.802293460682,-126.39492892251
"Goulburn - Yass","Females","10-14 - 15-19",2360,2.23580809231676,-306.764191907683,2051,2052.21951490288,844.064418594953,835.65810417797,852.555296449691,0.849535895447393,0.849535895447393,709.921555820702,1003.55417707301,-293.632621252308
"Goulburn - Yass","Females","15-19 - 20-24",2060,3.11360877384527,-589.886391226155,1467,3157.87734421434,1298.81422780672,1285.87891087158,1311.87966774394,0.825993871308412,0.825993871308412,1062.12809962466,1588.24382760355,-526.115727978882
"Goulburn - Yass","Females","20-24 - 25-29",1656,3.24798134625286,124.247981346253,1777,3871.69110952596,1592.40114500906,1576.54189966237,1608.4199266567,1.00815208577608,1.00815208577608,1589.394004458,1595.41397508347,-6.01997062546951
"Goulburn - Yass","Females","25-29 - 30-34",1869,4.38848413661411,132.388484136614,1997,3837.57480100798,1578.36933120711,1562.64983329683,1594.24695962705,1.0345012552263,1.0345012552263,1616.56321402474,1541.0778397541,75.4853742706481
"Goulburn - Yass","Females","30-34 - 35-39",2218,6.73210560119981,51.7321056011998,2263,3365.06233532794,1384.02805498065,1370.24406558863,1397.95070460724,1.04317099702875,1.04317099702875,1429.39886807281,1340.09736523447,89.3015028383468
"Goulburn - Yass","Females","35-39 - 40-44",2290,9.77930031439968,1.77930031439968,2282,2510.25019242767,1032.44943039127,1022.16692784727,1042.8353699138,1.01277281668684,1.01277281668684,1035.22287864001,1029.68341244121,5.53946619880589
"Goulburn - Yass","Females","40-44 - 45-49",2186,15.2144387407365,32.2144387407365,2203,1841.81202988972,757.525200828054,749.980758867629,765.145536208171,1.02204256327173,1.02204256327173,766.512257197548,748.643514178913,17.8687430186355
"Goulburn - Yass","Females","45-49 - 50-54",2150,23.8092392488868,44.8092392488868,2171,1528.24601234502,628.557555618557,622.297544741075,634.880539163242,1.04363254254975,1.07067736299943,666.279894204393,592.970918320966,41.1127301299873
"Goulburn - Yass","Females","50-54 - 55-59",1793,31.619493331252,140.619493331252,1902,1211.54805166926,498.301762752926,493.339012043436,503.314436322769,1.14635698317681,1.10229032547166,543.802820153225,456.607868809342,126.487036132424
"Goulburn - Yass","Females","55-59 - 60-64",1553,41.6355708523089,58.6355708523089,1570,981.484818945378,403.678264945312,399.657900689132,407.739072112102,1.11688145068841,1.11375153873426,445.119601859825,366.095181853112,81.3012471807828
"Goulburn - Yass","Females","60-64 - 65-69",1398,58.5332630514629,11.5332630514629,1351,795.336044310699,327.116495557002,323.85863507615,330.407128531044,1.07801618233756,1.12117239313654,363.101360926261,294.697881033899,42.6293311113907
"Goulburn - Yass","Females","65-69 - 70-74",1259,88.2568321292404,73.2568321292404,1244,608.596540149915,250.311762991324,247.81882603578,252.829777681128,1.16861954638365,1.18566478266789,293.830054512725,213.238835611049,73.2568321292404
"Goulburn - Yass","Females","70-74 - 75-79",1097,129.582435510917,84.5824355109167,1052,390.61170299694,160.656030016409,159.056003914668,162.272151603156,1.31035861928246,1.3326256132031,211.962104750419,121.768747347666,84.5824355109167
"Goulburn - Yass","Females","75-79 - 80-84",809,161.791310445787,62.7913104457865,710,182.012559779402,74.8605713626355,74.1150103764765,75.6136323299893,1.51889867394318,1.84987166253475,110.512133344326,40.8750692609569,62.7913104457865
"Goulburn - Yass","Females","80+ - 85+",1103,544.064891414367,119.064891414367,678,124.673937798165,51.2775724318808,50.7668822678296,51.7933998907984,2.72035769437861,2.1196281841609,74.0701447824917,24.4351345570082,119.064891414367
