"No.","Code","Area name","Sex","Age group","2001","2006","2011","2016"
1,10101,"Goulburn - Yass","Females","0–4",2077,1831.64178057171,1704.56657225689,1649.97412362145
1,10101,"Goulburn - Yass","Females","5–9",2302,2126.9300860588,1898.2383169145,1782.53820053138
1,10101,"Goulburn - Yass","Females","10–14",2259,2200.27163937421,2055.88528586141,1846.65505458137
1,10101,"Goulburn - Yass","Females","15–19",2051,2005.32905729438,1966.68681524008,1854.81749569877
1,10101,"Goulburn - Yass","Females","20–24",1467,1547.17546754764,1534.70424560649,1522.88242109963
1,10101,"Goulburn - Yass","Females","25–29",1777,1555.52848514216,1600.06881588238,1594.89353729682
1,10101,"Goulburn - Yass","Females","30–34",1997,1893.03780392778,1721.67117519842,1752.07440933007
1,10101,"Goulburn - Yass","Females","35–39",2263,2163.65070144019,2076.25065456767,1921.05009867431
1,10101,"Goulburn - Yass","Females","40–44",2282,2269.91813934,2196.64619818387,2120.10654144206
1,10101,"Goulburn - Yass","Females","45–49",2203,2294.75738482603,2281.92494375247,2223.27184320863
1,10101,"Goulburn - Yass","Females","50–54",2171,2250.0744244704,2344.62734302765,2332.8238329197
1,10101,"Goulburn - Yass","Females","55–59",1902,2239.25818152754,2311.15568419079,2409.19320729788
1,10101,"Goulburn - Yass","Females","60–64",1570,1902.59345028146,2256.61343336541,2326.63819988636
1,10101,"Goulburn - Yass","Females","65–69",1351,1557.69579240585,1871.88477935256,2239.14236027854
1,10101,"Goulburn - Yass","Females","70–74",1244,1299.53928840691,1493.47080061952,1791.33967139091
1,10101,"Goulburn - Yass","Females","75–79",1052,1166.62649094242,1212.58115563772,1394.82922383315
1,10101,"Goulburn - Yass","Females","80–84",710,926.084228945117,1028.98435880233,1072.64256458859
1,10101,"Goulburn - Yass","Females","85+",678,805.218289125779,1003.80488674949,1178.12760575104
1,10101,"Goulburn - Yass","Males","0–4",2248,1949.57958873851,1815.38270991714,1757.90201825421
1,10101,"Goulburn - Yass","Males","5–9",2450,2290.71575379508,2026.69192194025,1904.39076640591
1,10101,"Goulburn - Yass","Males","10–14",2467,2363.08757686587,2224.47017579952,1988.03273744815
1,10101,"Goulburn - Yass","Males","15–19",2141,2153.47241515998,2084.3376984253,1971.6060527396
1,10101,"Goulburn - Yass","Males","20–24",1740,1672.56155637312,1681.01647775043,1654.05678358909
1,10101,"Goulburn - Yass","Males","25–29",1768,1682.55602539352,1667.77165271941,1672.05712117766
1,10101,"Goulburn - Yass","Males","30–34",2045,1910.80155893268,1794.71295811166,1799.02831244761
1,10101,"Goulburn - Yass","Males","35–39",2398,2215.84319201423,2106.28622553438,1979.11765518639
1,10101,"Goulburn - Yass","Males","40–44",2401,2371.93654808536,2243.25453288289,2148.64277293721
1,10101,"Goulburn - Yass","Males","45–49",2235,2372.33983929151,2344.171319507,2243.4970660705
1,10101,"Goulburn - Yass","Males","50–54",2308,2280.32805165248,2405.91980748817,2380.38123165653
1,10101,"Goulburn - Yass","Males","55–59",1992,2349.41007562523,2329.97886136381,2451.04786212062
1,10101,"Goulburn - Yass","Males","60–64",1681,1990.45704059859,2352.41597299248,2345.39107534794
1,10101,"Goulburn - Yass","Males","65–69",1380,1629.22479019228,1932.00105941799,2298.46593181851
1,10101,"Goulburn - Yass","Males","70–74",1280,1269.52369849221,1504.57684043614,1797.67781618976
1,10101,"Goulburn - Yass","Males","75–79",773,1068.61873331641,1078.35349841889,1293.33764564459
1,10101,"Goulburn - Yass","Males","80–84",444,611.801599865401,841.797905364733,863.241286706742
1,10101,"Goulburn - Yass","Males","85+",263,365.962369483615,505.798894464711,694.321529173735
2,10102,"Queanbeyan","Females","0–4",1620,1459.25546898216,1401.57458675524,1425.50684846292
2,10102,"Queanbeyan","Females","5–9",1694,1698.4597482467,1566.89263198454,1531.98420321301
2,10102,"Queanbeyan","Females","10–14",1640,1808.55454880859,1819.39635788297,1704.87989919648
2,10102,"Queanbeyan","Females","15–19",1499,1711.71755261841,1860.09326816676,1878.75711936139
2,10102,"Queanbeyan","Females","20–24",1329,1449.81577621805,1598.19694977549,1715.82208960805
2,10102,"Queanbeyan","Females","25–29",1503,1315.53646473079,1419.70319120162,1525.13337462938
2,10102,"Queanbeyan","Females","30–34",1930,1716.19929880056,1614.98636752257,1728.4496177472
2,10102,"Queanbeyan","Females","35–39",1975,2062.90138637496,1957.89644114971,1892.5938504047
2,10102,"Queanbeyan","Females","40–44",1885,2094.45889413715,2184.96959393013,2132.34672017893
2,10102,"Queanbeyan","Females","45–49",1639,2051.6206556702,2242.37107167939,2339.89792280384
2,10102,"Queanbeyan","Females","50–54",1554,1776.43600740314,2153.75044398461,2334.11822970392
2,10102,"Queanbeyan","Females","55–59",1143,1619.04660735805,1827.22960586076,2176.68997934695
2,10102,"Queanbeyan","Females","60–64",812,1134.41783344909,1583.4494483753,1777.7822062195
2,10102,"Queanbeyan","Females","65–69",603,784.946184909938,1077.56565419214,1499.28857464437
2,10102,"Queanbeyan","Females","70–74",549,567.802749617552,731.446464698521,996.252139537937
2,10102,"Queanbeyan","Females","75–79",455,488.893156418378,508.340955457044,653.817456411174
2,10102,"Queanbeyan","Females","80–84",291,398.758721323452,433.235154912806,454.116564921645
2,10102,"Queanbeyan","Females","85+",259,317.612227818317,414.212774294107,491.479273486211
2,10102,"Queanbeyan","Males","0–4",1709,1542.53855266173,1482.23496598763,1508.04623040573
2,10102,"Queanbeyan","Males","5–9",1746,1769.45769948859,1635.01930845781,1598.61976274397
2,10102,"Queanbeyan","Males","10–14",1767,1873.61972549302,1897.81536355386,1781.6395864195
2,10102,"Queanbeyan","Males","15–19",1565,1820.84069694865,1925.20890445876,1952.20535769633
2,10102,"Queanbeyan","Males","20–24",1364,1494.60473977512,1674.73211974304,1772.28720231878
2,10102,"Queanbeyan","Males","25–29",1449,1279.61930173129,1382.11251340246,1501.07162143382
2,10102,"Queanbeyan","Males","30–34",1759,1578.18110396975,1486.45327447258,1591.01325591508
2,10102,"Queanbeyan","Males","35–39",2062,1968.8841289715,1883.91910462586,1827.02920447098
2,10102,"Queanbeyan","Males","40–44",1950,2152.80970488422,2115.80602978968,2077.34008998946
2,10102,"Queanbeyan","Males","45–49",1792,2101.01056212659,2280.70012046061,2276.50183319015
2,10102,"Queanbeyan","Males","50–54",1695,1901.92462425194,2190.60189271766,2358.52870380892
2,10102,"Queanbeyan","Males","55–59",1221,1730.95642320722,1920.57063449115,2194.29942733447
2,10102,"Queanbeyan","Males","60–64",954,1218.58398261549,1691.14383265716,1868.33624381669
2,10102,"Queanbeyan","Males","65–69",643,899.519427039311,1150.0320268274,1586.59638382063
2,10102,"Queanbeyan","Males","70–74",528,583.435900500048,807.159190223752,1039.95658167837
2,10102,"Queanbeyan","Males","75–79",349,436.935941534967,488.315814203704,678.377246907757
2,10102,"Queanbeyan","Males","80–84",184,273.812979188493,347.142113435237,392.561739692143
2,10102,"Queanbeyan","Males","85+",107,149.483490948292,217.892618493384,291.737419782351
3,10103,"Snowy Mountains","Females","0–4",590,469.057191849101,422.152439006297,411.758260493811
3,10103,"Snowy Mountains","Females","5–9",656,599.42830173563,504.437264481577,466.69328590121
3,10103,"Snowy Mountains","Females","10–14",666,682.257080984404,633.971065813059,550.504197696906
3,10103,"Snowy Mountains","Females","15–19",519,629.374755335665,640.497440800097,602.11392209667
3,10103,"Snowy Mountains","Females","20–24",448,495.829440831468,549.959782103775,557.411417091802
3,10103,"Snowy Mountains","Females","25–29",530,447.212496003254,469.589738290232,490.785391504255
3,10103,"Snowy Mountains","Females","30–34",618,507.39692093679,455.362409957387,469.103386875775
3,10103,"Snowy Mountains","Females","35–39",731,611.954367747974,548.775809068786,506.742501758768
3,10103,"Snowy Mountains","Females","40–44",737,655.21546013699,583.19389767408,541.42085814983
3,10103,"Snowy Mountains","Females","45–49",633,665.029046809854,608.749439566798,558.723066072318
3,10103,"Snowy Mountains","Females","50–54",622,628.319067986731,659.992433393569,617.911773496211
3,10103,"Snowy Mountains","Females","55–59",547,633.997500942794,642.101522819236,674.48601966033
3,10103,"Snowy Mountains","Females","60–64",448,551.327244003557,645.627575281715,656.286399683712
3,10103,"Snowy Mountains","Females","65–69",341,447.112532419472,544.455040884762,644.472776861851
3,10103,"Snowy Mountains","Females","70–74",331,381.051793251694,477.886337430363,574.267997583259
3,10103,"Snowy Mountains","Females","75–79",261,366.605051528436,408.518039127235,499.921726743897
3,10103,"Snowy Mountains","Females","80–84",213,279.916129198214,369.112444622485,405.524798009824
3,10103,"Snowy Mountains","Females","85+",164,243.636334103705,328.111066054901,427.426522690346
3,10103,"Snowy Mountains","Males","0–4",600,492.881273351604,443.620857229267,432.814008856374
3,10103,"Snowy Mountains","Males","5–9",699,612.722183190678,526.192763485526,486.770876351468
3,10103,"Snowy Mountains","Males","10–14",704,721.150007032764,650.258906092518,572.659295924338
3,10103,"Snowy Mountains","Males","15–19",681,695.369535668715,707.540102678026,650.283560998135
3,10103,"Snowy Mountains","Males","20–24",551,603.083755008865,611.843223411556,621.035805990739
3,10103,"Snowy Mountains","Males","25–29",607,544.262092156687,569.105279294631,575.039310964876
3,10103,"Snowy Mountains","Males","30–34",652,599.37059586894,550.591330499296,565.752036130981
3,10103,"Snowy Mountains","Males","35–39",728,649.091772724234,612.947874100025,571.311721034067
3,10103,"Snowy Mountains","Males","40–44",822,707.936216059387,657.874482658771,629.829942594986
3,10103,"Snowy Mountains","Males","45–49",722,771.783802250806,693.383198512598,657.310041757372
3,10103,"Snowy Mountains","Males","50–54",682,705.795898780408,750.47442392196,692.386075429919
3,10103,"Snowy Mountains","Males","55–59",599,689.549288944926,709.230681085435,752.068837867293
3,10103,"Snowy Mountains","Males","60–64",510,607.600339899437,704.14215797047,723.186946647661
3,10103,"Snowy Mountains","Males","65–69",425,502.382061413422,598.314470771792,700.27199840457
3,10103,"Snowy Mountains","Males","70–74",308,393.040235964612,467.041145605006,560.401632658099
3,10103,"Snowy Mountains","Males","75–79",244,297.27883591009,369.128980934,440.203627665722
3,10103,"Snowy Mountains","Males","80–84",140,227.535308978176,273.818839235567,332.410339401963
3,10103,"Snowy Mountains","Males","85+",81,127.9671330565,197.61189451361,258.920681594871
4,10104,"South Coast","Females","0–4",1770,1660.08096408054,1671.29652771636,1712.68668006423
4,10104,"South Coast","Females","5–9",2220,2236.73357596577,2117.40617992058,2112.02122129034
4,10104,"South Coast","Females","10–14",2382,2497.42452151787,2510.88950590958,2383.94757452267
4,10104,"South Coast","Females","15–19",1823,2126.77439983663,2223.54545880609,2231.13212312256
4,10104,"South Coast","Females","20–24",1082,1297.1775459972,1441.99349043202,1506.80769221269
4,10104,"South Coast","Females","25–29",1323,1347.49341328298,1481.17759388587,1571.12017951244
4,10104,"South Coast","Females","30–34",1669,1776.86632881995,1757.80531259052,1868.66205280381
4,10104,"South Coast","Females","35–39",2119,2133.59645639515,2205.84350062356,2165.46383508813
4,10104,"South Coast","Females","40–44",2579,2531.83767326785,2572.40486006969,2629.53328967962
4,10104,"South Coast","Females","45–49",2407,2716.25846903963,2712.02047670834,2763.24073577433
4,10104,"South Coast","Females","50–54",2234,2706.38713649617,3011.72661355653,3033.8532718441
4,10104,"South Coast","Females","55–59",2174,2653.41753829486,3080.52577543427,3391.01450798162
4,10104,"South Coast","Females","60–64",2031,2402.18792900142,2937.78666575214,3326.54497022894
4,10104,"South Coast","Females","65–69",1801,1951.66413763336,2323.68578966807,2877.18464011839
4,10104,"South Coast","Females","70–74",1749,1497.61742933795,1660.62020309483,2005.85747917511
4,10104,"South Coast","Females","75–79",1375,1301.74810727715,1140.33983903141,1292.62238846111
4,10104,"South Coast","Females","80–84",886,1039.90177663616,1005.91506962536,899.102290874133
4,10104,"South Coast","Females","85+",669,813.485931067739,982.538038638898,1065.46879020709
