No.,Code,Area name,Sex,Age group,2001,2006,2011
1,10101,Goulburn - Yass,Females,0–4,2077,1831.64178057171,1704.56657225689
1,10101,Goulburn - Yass,Females,5–9,2302,2126.9300860588,1898.2383169145
1,10101,Goulburn - Yass,Females,10–14,2259,2200.27163937421,2055.88528586141
1,10101,Goulburn - Yass,Females,15–19,2051,2005.32905729438,1966.68681524008
1,10101,Goulburn - Yass,Females,20–24,1467,1547.17546754764,1534.70424560649
1,10101,Goulburn - Yass,Females,25–29,1777,1555.52848514216,1600.06881588238
1,10101,Goulburn - Yass,Females,30–34,1997,1893.03780392778,1721.67117519842
1,10101,Goulburn - Yass,Females,35–39,2263,2163.65070144019,2076.25065456767
1,10101,Goulburn - Yass,Females,40–44,2282,2269.91813934,2196.64619818387
1,10101,Goulburn - Yass,Females,45–49,2203,2294.75738482603,2281.92494375247
1,10101,Goulburn - Yass,Females,50–54,2171,2250.0744244704,2344.62734302765
1,10101,Goulburn - Yass,Females,55–59,1902,2239.25818152754,2311.15568419079
1,10101,Goulburn - Yass,Females,60–64,1570,1902.59345028146,2256.61343336541
1,10101,Goulburn - Yass,Females,65–69,1351,1557.69579240585,1871.88477935256
1,10101,Goulburn - Yass,Females,70–74,1244,1299.53928840691,1493.47080061952
1,10101,Goulburn - Yass,Females,75–79,1052,1166.62649094242,1212.58115563772
1,10101,Goulburn - Yass,Females,80–84,710,926.084228945117,1028.98435880233
1,10101,Goulburn - Yass,Females,85,678,805.218289125779,1003.80488674949
1,10101,Goulburn - Yass,Males,0–4,2248,1949.57958873851,1815.38270991714
1,10101,Goulburn - Yass,Males,5–9,2450,2290.71575379508,2026.69192194025
1,10101,Goulburn - Yass,Males,10–14,2467,2363.08757686587,2224.47017579952
1,10101,Goulburn - Yass,Males,15–19,2141,2153.47241515998,2084.3376984253
1,10101,Goulburn - Yass,Males,20–24,1740,1672.56155637312,1681.01647775043
1,10101,Goulburn - Yass,Males,25–29,1768,1682.55602539352,1667.77165271941
1,10101,Goulburn - Yass,Males,30–34,2045,1910.80155893268,1794.71295811166
1,10101,Goulburn - Yass,Males,35–39,2398,2215.84319201423,2106.28622553438
1,10101,Goulburn - Yass,Males,40–44,2401,2371.93654808536,2243.25453288289
1,10101,Goulburn - Yass,Males,45–49,2235,2372.33983929151,2344.171319507
1,10101,Goulburn - Yass,Males,50–54,2308,2280.32805165248,2405.91980748817
1,10101,Goulburn - Yass,Males,55–59,1992,2349.41007562523,2329.97886136381
1,10101,Goulburn - Yass,Males,60–64,1681,1990.45704059859,2352.41597299248
1,10101,Goulburn - Yass,Males,65–69,1380,1629.22479019228,1932.00105941799
1,10101,Goulburn - Yass,Males,70–74,1280,1269.52369849221,1504.57684043614
1,10101,Goulburn - Yass,Males,75–79,773,1068.61873331641,1078.35349841889
1,10101,Goulburn - Yass,Males,80–84,444,611.801599865401,841.797905364733
1,10101,Goulburn - Yass,Males,85,263,365.962369483615,505.798894464711
2,10102,Queanbeyan,Females,0–4,1620,1459.25546898216,1401.57458675524
2,10102,Queanbeyan,Females,5–9,1694,1698.4597482467,1566.89263198454
2,10102,Queanbeyan,Females,10–14,1640,1808.55454880859,1819.39635788297
2,10102,Queanbeyan,Females,15–19,1499,1711.71755261841,1860.09326816676
2,10102,Queanbeyan,Females,20–24,1329,1449.81577621805,1598.19694977549
2,10102,Queanbeyan,Females,25–29,1503,1315.53646473079,1419.70319120162
2,10102,Queanbeyan,Females,30–34,1930,1716.19929880056,1614.98636752257
2,10102,Queanbeyan,Females,35–39,1975,2062.90138637496,1957.89644114971
2,10102,Queanbeyan,Females,40–44,1885,2094.45889413715,2184.96959393013
2,10102,Queanbeyan,Females,45–49,1639,2051.6206556702,2242.37107167939
2,10102,Queanbeyan,Females,50–54,1554,1776.43600740314,2153.75044398461
2,10102,Queanbeyan,Females,55–59,1143,1619.04660735805,1827.22960586076
2,10102,Queanbeyan,Females,60–64,812,1134.41783344909,1583.4494483753
2,10102,Queanbeyan,Females,65–69,603,784.946184909938,1077.56565419214
2,10102,Queanbeyan,Females,70–74,549,567.802749617552,731.446464698521
2,10102,Queanbeyan,Females,75–79,455,488.893156418378,508.340955457044
2,10102,Queanbeyan,Females,80–84,291,398.758721323452,433.235154912806
2,10102,Queanbeyan,Females,85,259,317.612227818317,414.212774294107
