"Info","2001-06","2006-11"
"1 Goulburn - Yass",NA,NA
"Start-of-period population",63370,64583.5511055045
"Births",3887.33434009997,3600.36874427269
"Deaths",2606.91919014467,2892.57494117029
"Net migration",-66.8640444508434,207.359069137688
"End-of-period population",64583.5511055045,65498.7039777445
"2 Queanbeyan",NA,NA
"Start-of-period population",45224,49232.6522682217
"Births",3086.24892807377,2934.53828704837
"Deaths",1256.6236785774,1449.91412829122
"Net migration",2179.02701872535,2254.89436284655
"End-of-period population",49232.6522682217,52972.1707898254
"3 Snowy Mountains",NA,NA
"Start-of-period population",18810,19243.521052066
"Births",1049.74363918849,932.614454485973
"Deaths",771.963000984654,926.002844358087
"Net migration",155.740413862147,335.481696182539
"End-of-period population",19243.521052066,19585.6143583764
"4 South Coast",NA,NA
"Start-of-period population",64093,68491.6607622826
"Births",3276.12559856691,3321.20868383027
"Deaths",3201.73188913671,3253.6519736241
"Net migration",4324.26705285239,3950.60037706185
"End-of-period population",68491.6607622826,72509.8178495506
"5 Gosford",NA,NA
"Start-of-period population",160596,170956.477551878
"Births",9761.92358954896,9613.11843492932
"Deaths",8069.5108534485,8729.25580229865
"Net migration",8668.06481577761,8529.61382207341
"End-of-period population",170956.477551878,180369.954006582
"6 Wyong",NA,NA
"Start-of-period population",134000,146035.740108903
"Births",9142.28424722102,9164.05503477519
"Deaths",6431.27376214027,6970.6480711488
"Net migration",9324.72962382209,9046.06297952676
"End-of-period population",146035.740108903,157275.210052056
"7 Bathurst",NA,NA
"Start-of-period population",40816,42639.7756429631
"Births",2551.7540649178,2462.00582325541
"Deaths",1435.39753155219,1626.63141866806
"Net migration",707.419109597473,762.308495846162
"End-of-period population",42639.7756429631,44237.4585433966
"8 Lachlan Valley",NA,NA
"Start-of-period population",58987,59208.1829409331
"Births",3855.75692474641,3552.46459960429
"Deaths",2701.18697685746,2966.14325268854
"Net migration",-933.38700695585,-623.110247878217
"End-of-period population",59208.1829409331,59171.3940399706
"9 Lithgow - Mudgee",NA,NA
"Start-of-period population",43738,44347.6239962397
"Births",2771.94400482743,2655.93339019943
"Deaths",1702.76095560364,1765.6859541287
"Net migration",-459.559052984131,-477.118841992184
"End-of-period population",44347.6239962397,44760.7525903182
"10 Orange",NA,NA
"Start-of-period population",52288,54056.271107749
"Births",3607.58697291738,3437.13466496315
"Deaths",1969.36225350141,2168.40581280896
"Net migration",130.046388333016,225.860449512183
"End-of-period population",54056.271107749,55550.8604094154
"11 Clarence Valley",NA,NA
"Start-of-period population",47789,49914.1581753107
"Births",2704.5397266277,2584.46959095776
"Deaths",2296.10977420894,2506.46806259193
"Net migration",1716.72822289194,1782.69015427894
"End-of-period population",49914.1581753107,51774.8498579555
"12 Coffs Harbour",NA,NA
"Start-of-period population",75674,80469.3038992577
"Births",4267.36604750934,4142.75012951714
"Deaths",3353.53880359913,3821.01613310358
"Net migration",3881.47665534752,4028.34007524425
"End-of-period population",80469.3038992577,84819.3779709155
"13 Bourke - Cobar - Coonamble",NA,NA
"Start-of-period population",30532,30341.8783131117
"Births",2457.29207752698,2290.87733516291
"Deaths",899.884778205119,948.229282844675
"Net migration",-1747.52898621013,-1662.00617218444
"End-of-period population",30341.8783131117,30022.5201932455
"14 Broken Hill and Far West",NA,NA
"Start-of-period population",24208,23154.5146002205
"Births",1395.13694307233,1221.84155454851
"Deaths",1051.9289113358,1022.81036693642
"Net migration",-1396.69343151605,-1281.19246390987
"End-of-period population",23154.5146002205,22072.3533239227
"15 Dubbo",NA,NA
"Start-of-period population",68842,70714.6765669631
"Births",4926.93653717329,4630.78714706333
"Deaths",2606.16906831384,2970.88474059287
"Net migration",-448.090901896371,-132.317391185868
"End-of-period population",70714.6765669631,72242.2615822477
"16 Lower Hunter",NA,NA
"Start-of-period population",76441,78672.0348347446
"Births",5181.81265972462,5122.51922546944
"Deaths",2679.48766429782,2779.69411048175
"Net migration",-271.290160682185,-500.257009999137
"End-of-period population",78672.0348347446,80514.6029397332
"17 Maitland",NA,NA
"Start-of-period population",52324,55444.5272457171
"Births",3772.26822556073,3806.34026628041
"Deaths",1770.30412452885,1879.51174416066
"Net migration",1118.56314468524,888.446455620577
"End-of-period population",55444.5272457171,58259.8022234575
"18 Port Stephens",NA,NA
"Start-of-period population",61044,66973.3038224499
"Births",3990.9833476552,4061.28510548087
"Deaths",2456.90582284821,2795.30949022356
"Net migration",4395.22629764297,4305.44702837278
"End-of-period population",66973.3038224499,72544.72646608
"19 Upper Hunter",NA,NA
"Start-of-period population",28529,28640.8767647775
"Births",1927.48108849387,1769.52115944229
"Deaths",1015.6588368,1131.53372524356
"Net migration",-799.945486916384,-650.876309492168
"End-of-period population",28640.8767647775,28627.987889484
"20 Dapto - Port Kembla",NA,NA
"Start-of-period population",72302,73979.4873660881
"Births",4439.63606653654,3981.17282790332
"Deaths",2564.25003480642,2965.46461836646
"Net migration",-197.898665642033,309.928513255284
"End-of-period population",73979.4873660881,75305.1240888802
"21 Kiama - Shellharbour",NA,NA
"Start-of-period population",79109,84983.5562043639
"Births",5368.43896361628,5227.96033683311
"Deaths",2813.07038409536,3355.17707960041
"Net migration",3319.18762484298,3529.38242848731
"End-of-period population",84983.5562043639,90385.7218900839
"22 Wollongong",NA,NA
"Start-of-period population",115960,118953.865533394
"Births",6881.79194440599,6761.26564752185
"Deaths",4806.42411414877,4979.2068374116
"Net migration",918.497703136957,636.273465686244
"End-of-period population",118953.865533394,121372.197809191
"23 Great Lakes",NA,NA
"Start-of-period population",28094,30284.9115867279
"Births",1296.4553844457,1303.73432270873
"Deaths",1817.09955770287,2024.48880306875
"Net migration",2711.55575998511,2743.6259830455
"End-of-period population",30284.9115867279,32307.7830894134
"24 Kempsey - Nambucca",NA,NA
"Start-of-period population",45235,46743.9062000809
"Births",2494.45743699121,2330.10569225289
"Deaths",2211.91921104669,2499.55888722194
"Net migration",1226.36797413639,1442.25272136598
"End-of-period population",46743.9062000809,48016.7057264779
"25 Port Macquarie",NA,NA
"Start-of-period population",64874,71059.3478181392
"Births",3287.19189244178,3223.57368442318
"Deaths",3903.55075275047,4469.36713146262
"Net migration",6801.70667844788,7049.2829351972
"End-of-period population",71059.3478181392,76862.8373062969
"26 Taree - Gloucester",NA,NA
"Start-of-period population",49425,50970.8243530004
"Births",2703.51060513841,2540.34840608171
"Deaths",2429.82909825722,2595.89114887176
"Net migration",1272.14284611926,1346.72012018842
"End-of-period population",50970.8243530004,52262.0017303988
"27 Albury",NA,NA
"Start-of-period population",55583,57298.7684063873
"Births",3499.7596606159,3346.81314502944
"Deaths",2200.76729769912,2435.11824107592
"Net migration",416.776043470497,518.449755432271
"End-of-period population",57298.7684063873,58728.9130657731
"28 Lower Murray",NA,NA
"Start-of-period population",14120,14027.6897648571
"Births",938.114416876075,853.403763217413
"Deaths",511.924565649165,544.222661178037
"Net migration",-518.500086369779,-461.132373172621
"End-of-period population",14027.6897648571,13875.7384937239
"29 Upper Murray exc. Albury",NA,NA
"Start-of-period population",42032,42771.3978030862
"Births",2527.86612092928,2340.71942212865
"Deaths",1961.42565577005,2183.66211090236
"Net migration",172.957337926978,387.07171486195
"End-of-period population",42771.3978030862,43315.5268291744
"30 Armidale",NA,NA
"Start-of-period population",36743,36288.5998192083
"Births",2069.31127323577,1867.00206685506
"Deaths",1324.048286454,1420.42700497086
"Net migration",-1199.66316757344,-1048.11826428671
"End-of-period population",36288.5998192083,35687.0566168058
"31 Inverell - Tenterfield",NA,NA
"Start-of-period population",38138,37880.8237515526
"Births",2222.08887535112,2036.22455230651
"Deaths",1799.46314894704,1936.62593030546
"Net migration",-679.801974851459,-517.632884392777
"End-of-period population",37880.8237515526,37462.7894891609
"32 Moree - Narrabri",NA,NA
"Start-of-period population",30007,29908.7032104984
"Births",2325.9403807512,2153.84564092168
"Deaths",840.806928847518,879.7565411785
"Net migration",-1583.4302414053,-1501.53835474236
"End-of-period population",29908.7032104984,29681.2539554992
"33 Tamworth - Gunnedah",NA,NA
"Start-of-period population",74837,75234.5314386776
"Births",4559.63154936433,4169.54454959321
"Deaths",3127.22835976848,3439.88321939178
"Net migration",-1034.87175091831,-659.13513968382
"End-of-period population",75234.5314386776,75305.0576291952
"34 Lake Macquarie - East",NA,NA
"Start-of-period population",116872,120652.887866992
"Births",6727.40831425765,6594.55904428235
"Deaths",4848.83983768552,5195.57609586596
"Net migration",1902.3193904195,1775.65443947193
"End-of-period population",120652.887866992,123827.52525488
"35 Lake Macquarie - West",NA,NA
"Start-of-period population",67249,70908.3868124918
"Births",4309.47895422222,4317.02351977736
"Deaths",3019.5509222668,3354.62061790904
"Net migration",2369.45878053635,2310.42807563121
"End-of-period population",70908.3868124918,74181.2177899913
"36 Newcastle",NA,NA
"Start-of-period population",148073,151255.240591948
"Births",7747.55280650128,6754.39149738152
"Deaths",6921.86889630687,7445.71477211455
"Net migration",2356.55668175332,3162.66281328406
"End-of-period population",151255.240591948,153726.580130499
"37 Richmond Valley - Coastal",NA,NA
"Start-of-period population",71896,78009.2724139437
"Births",3792.78923736069,3745.95664615057
"Deaths",3400.14727983366,3842.41404770486
"Net migration",5720.63045641669,5780.41955843171
"End-of-period population",78009.2724139437,83693.2345708211
"38 Richmond Valley - Hinterland",NA,NA
"Start-of-period population",68887,69662.4351563442
"Births",4140.51068960776,3826.31939098634
"Deaths",2689.02339520424,2673.36205882758
"Net migration",-676.052138059293,-678.937350979497
"End-of-period population",69662.4351563442,70136.4551375235
"39 Tweed Valley",NA,NA
"Start-of-period population",73980,81895.2120451357
"Births",3899.98325832592,3871.29897481402
"Deaths",4275.65001222306,5026.64703645432
"Net migration",8290.87879903291,8649.94571141122
"End-of-period population",81895.2120451357,89389.8096949067
"40 Griffith - Murrumbidgee (West)",NA,NA
"Start-of-period population",49373,50891.4363884906
"Births",3720.63946194265,3561.41042100588
"Deaths",1730.13233731582,1903.53598144743
"Net migration",-472.070736136167,-392.962899780078
"End-of-period population",50891.4363884906,52156.347928269
"41 Tumut - Tumbarumba",NA,NA
"Start-of-period population",15112,15150.7325644004
"Births",883.461581402675,813.97096439524
"Deaths",649.080806363843,701.564914754547
"Net migration",-195.648210638408,-139.736867636243
"End-of-period population",15150.7325644004,15123.4017464049
"42 Wagga Wagga",NA,NA
